AXT Inc Price to Free Cash Flow Ratio Historical Data,AXT Inc Price to Free Cash Flow Ratio Historical Data,AXT Inc Price to Free Cash Flow Ratio Historical Data,AXT Inc Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.72,,0.0
2024-12-31,2.17,$-0.41,0.0
2024-09-30,2.42,$-0.39,0.0
2024-06-30,3.38,$-0.36,0.0
2024-03-31,4.59,$-0.35,0.0
2023-12-31,2.4,$-0.17,0.0
2023-09-30,2.4,$-0.20,0.0
2023-06-30,3.44,$-0.61,0.0
2023-03-31,3.98,$-0.64,0.0
2022-12-31,4.38,$-0.87,0.0
2022-09-30,6.7,$-0.96,0.0
2022-06-30,5.86,$-0.58,0.0
2022-03-31,7.02,$-0.80,0.0
2021-12-31,8.81,$-0.77,0.0
2021-09-30,8.33,$-0.90,0.0
2021-06-30,10.98,$-0.78,0.0
2021-03-31,11.66,$-0.46,0.0
2020-12-31,9.57,$-0.34,0.0
2020-09-30,6.12,$-0.20,0.0
2020-06-30,4.76,$-0.28,0.0
2020-03-31,3.21,$-0.29,0.0
2019-12-31,4.35,$-0.23,0.0
2019-09-30,3.56,$-0.24,0.0
2019-06-30,3.96,$-0.43,0.0
2019-03-31,4.45,$-0.82,0.0
2018-12-31,4.35,$-0.92,0.0
2018-09-30,7.15,$-0.97,0.0
2018-06-30,7.05,$-0.92,0.0
2018-03-31,7.25,$-0.60,0.0
2017-12-31,8.7,$-0.33,0.0
2017-09-30,9.15,$-0.02,0.0
2017-06-30,6.35,$0.29,21.63
2017-03-31,5.8,$0.35,16.61
2016-12-31,4.8,$0.30,16.09
2016-09-30,5.19,$0.07,74.78
2016-06-30,3.19,$0.03,112.72
2016-03-31,2.47,$-0.06,0.0
2015-12-31,2.48,$-0.07,0.0
2015-09-30,1.92,$-0.02,0.0
2015-06-30,2.52,$-0.07,0.0
2015-03-31,2.69,$0.03,92.76
2014-12-31,2.8,$0.05,59.07
2014-09-30,2.44,$-0.05,0.0
2014-06-30,2.14,$0.07,28.61
2014-03-31,2.2,$-0.08,0.0
2013-12-31,2.61,$-0.07,0.0
2013-09-30,2.34,$-0.01,0.0
2013-06-30,2.7,$0.05,52.53
2013-03-31,2.94,$0.17,17.7
2012-12-31,2.81,$0.43,6.49
2012-09-30,3.38,$0.52,6.45
2012-06-30,3.95,$0.48,8.25
2012-03-31,6.35,$0.45,14.23
2011-12-31,4.17,$0.15,27.24
2011-09-30,5.03,$0.05,102.86
2011-06-30,8.48,$-0.00,0.0
2011-03-31,7.17,$-0.02,0.0
2010-12-31,10.44,$0.14,73.26
2010-09-30,6.62,$0.18,36.29
2010-06-30,4.51,$0.27,16.75
2010-03-31,3.19,$0.29,10.89
2009-12-31,3.25,$0.10,31.65
