Odyssey Marine Exploration Price to Free Cash Flow Ratio Historical Data,Odyssey Marine Exploration Price to Free Cash Flow Ratio Historical Data,Odyssey Marine Exploration Price to Free Cash Flow Ratio Historical Data,Odyssey Marine Exploration Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.43,,0.0
2024-09-30,0.83,$-0.02,0.0
2024-06-30,4.88,$0.06,87.46
2024-03-31,3.81,$-0.40,0.0
2023-12-31,4.65,$-0.56,0.0
2023-09-30,3.74,$-0.80,0.0
2023-06-30,3.6,$-0.90,0.0
2023-03-31,3.25,$-0.78,0.0
2022-12-31,3.88,$-0.68,0.0
2022-09-30,3.1,$-0.40,0.0
2022-06-30,3.41,$-0.36,0.0
2022-03-31,6.66,$-0.39,0.0
2021-12-31,5.2,$-0.38,0.0
2021-09-30,7.0,$-0.66,0.0
2021-06-30,6.36,$-0.82,0.0
2021-03-31,6.68,$-0.83,0.0
2020-12-31,7.1,$-0.87,0.0
2020-09-30,6.8,$-0.72,0.0
2020-06-30,4.57,$-0.62,0.0
2020-03-31,3.35,$-0.58,0.0
2019-12-31,3.19,$-0.58,0.0
2019-09-30,3.83,$-0.51,0.0
2019-06-30,5.8,$-0.50,0.0
2019-03-31,7.16,$-0.56,0.0
2018-12-31,3.33,$-0.64,0.0
2018-09-30,8.1,$-0.69,0.0
2018-06-30,8.29,$-0.73,0.0
2018-03-31,8.27,$-0.78,0.0
2017-12-31,3.77,$-0.70,0.0
2017-09-30,4.36,$-0.77,0.0
2017-06-30,3.6,$-0.75,0.0
2017-03-31,3.94,$-0.89,0.0
2016-12-31,3.42,$-1.09,0.0
2016-09-30,3.59,$-1.11,0.0
2016-06-30,2.02,$-1.37,0.0
2016-03-31,6.79,$-2.08,0.0
2015-12-31,3.24,$-2.21,0.0
2015-09-30,4.32,$-2.76,0.0
2015-06-30,5.64,$-3.29,0.0
2015-03-31,8.4,$-3.21,0.0
2014-12-31,11.16,$-4.46,0.0
2014-09-30,10.92,$-1.57,0.0
2014-06-30,20.16,$-1.90,0.0
2014-03-31,27.48,$-2.47,0.0
2013-12-31,24.24,$-3.62,0.0
2013-09-30,36.0,$-3.19,0.0
2013-06-30,35.52,$-3.43,0.0
2013-03-31,39.12,$-3.36,0.0
2012-12-31,35.64,$-1.27,0.0
2012-09-30,37.8,$-4.85,0.0
2012-06-30,44.7,$-4.12,0.0
2012-03-31,37.32,$-3.44,0.0
2011-12-31,32.88,$-2.68,0.0
2011-09-30,29.52,$-2.51,0.0
2011-06-30,37.56,$-2.47,0.0
2011-03-31,36.96,$-1.55,0.0
2010-12-31,33.36,$-2.52,0.0
2010-09-30,21.96,$-2.04,0.0
2010-06-30,12.0,$-1.87,0.0
2010-03-31,15.72,$-2.84,0.0
2009-12-31,16.92,$-2.94,0.0
