Badger Meter Price to Free Cash Flow Ratio Historical Data,Badger Meter Price to Free Cash Flow Ratio Historical Data,Badger Meter Price to Free Cash Flow Ratio Historical Data,Badger Meter Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,196.63,,40.83
2024-12-31,212.12,$4.82,44.05
2024-09-30,218.07,$4.43,49.24
2024-06-30,185.75,$3.97,46.75
2024-03-31,161.07,$3.50,45.99
2023-12-31,153.4,$3.33,46.05
2023-09-30,142.71,$3.08,46.31
2023-06-30,146.12,$2.86,51.03
2023-03-31,120.44,$2.80,43.08
2022-12-31,107.59,$2.61,41.28
2022-09-30,90.99,$2.53,35.99
2022-06-30,79.49,$2.26,35.24
2022-03-31,97.73,$2.05,47.75
2021-12-31,104.23,$2.75,37.86
2021-09-30,98.74,$2.29,43.04
2021-06-30,95.61,$2.48,38.57
2021-03-31,90.52,$2.76,32.81
2020-12-31,91.33,$2.75,33.15
2020-09-30,63.33,$2.92,21.66
2020-06-30,60.78,$2.92,20.8
2020-03-31,51.64,$2.95,17.51
2019-12-31,62.39,$2.51,24.9
2019-09-30,51.46,$2.56,20.13
2019-06-30,57.01,$2.33,24.43
2019-03-31,52.99,$2.18,24.32
2018-12-31,46.75,$1.77,26.39
2018-09-30,50.3,$1.13,44.53
2018-06-30,42.35,$0.83,51.31
2018-03-31,44.54,$1.02,43.51
2017-12-31,45.03,$1.19,37.8
2017-09-30,46.03,$1.64,28.12
2017-06-30,37.33,$1.86,20.1
2017-03-31,34.32,$1.35,25.4
2016-12-31,34.4,$1.57,21.92
2016-09-30,31.1,$1.26,24.76
2016-06-30,33.83,$0.92,36.82
2016-03-31,30.77,$0.95,32.54
2015-12-31,27.02,$0.56,48.6
2015-09-30,26.69,$0.55,48.42
2015-06-30,29.09,$0.99,29.27
2015-03-31,27.38,$1.03,26.48
2014-12-31,27.02,$0.81,33.21
2014-09-30,22.89,$0.71,32.12
2014-06-30,23.8,$0.60,39.91
2014-03-31,24.82,$0.56,44.21
2013-12-31,24.47,$0.71,34.46
2013-09-30,20.81,$0.91,22.89
2013-06-30,19.86,$0.85,23.34
2013-03-31,23.76,$0.68,35.08
2012-12-31,20.98,$0.92,22.71
2012-09-30,16.04,$0.79,20.19
2012-06-30,16.47,$0.76,21.74
2012-03-31,14.85,$1.04,14.23
2011-12-31,12.79,$0.86,14.82
2011-09-30,12.51,$0.84,14.93
2011-06-30,15.92,$0.61,26.23
2011-03-31,17.67,$0.31,57.4
2010-12-31,18.89,$0.31,61.91
2010-09-30,17.24,$0.57,30.4
2010-06-30,16.41,$0.81,20.33
2010-03-31,16.29,$0.81,19.99
2009-12-31,16.78,$0.96,17.4
