1895 Bancorp Of Wisconsin Price to Free Cash Flow Ratio Historical Data,1895 Bancorp Of Wisconsin Price to Free Cash Flow Ratio Historical Data,1895 Bancorp Of Wisconsin Price to Free Cash Flow Ratio Historical Data,1895 Bancorp Of Wisconsin Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-07,9.4,,0.0
2024-09-30,10.1,$-0.05,0.0
2024-06-30,8.18,$-0.22,0.0
2024-03-31,6.82,$-0.01,0.0
2023-12-31,6.99,$-0.15,0.0
2023-09-30,7.06,$0.08,86.88
2023-06-30,7.49,$0.16,45.98
2023-03-31,8.04,$0.29,27.5
2022-12-31,10.0,$0.42,24.08
2022-09-30,10.4,$-1.13,0.0
2022-06-30,10.25,$0.40,25.75
2022-03-31,10.85,$0.56,19.45
2021-12-31,10.99,$0.41,26.85
2021-09-30,10.92,$2.65,4.13
2021-06-30,15.03,$1.29,11.69
2021-03-31,14.24,$0.20,72.5
2020-12-31,9.96,$0.21,47.72
2020-09-30,9.26,$-0.06,0.0
2020-06-30,9.1,$-0.33,0.0
2020-03-31,7.89,$0.11,72.92
2019-12-31,10.78,$0.21,50.73
