Friedman Industries Price to Free Cash Flow Ratio Historical Data,Friedman Industries Price to Free Cash Flow Ratio Historical Data,Friedman Industries Price to Free Cash Flow Ratio Historical Data,Friedman Industries Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,17.2,,14.95
2024-12-31,15.29,$1.15,13.29
2024-09-30,15.98,$3.47,4.61
2024-06-30,15.02,$-0.45,0.0
2024-03-31,18.61,$-0.11,0.0
2023-12-31,15.33,$1.13,13.54
2023-09-30,13.26,$-3.15,0.0
2023-06-30,12.45,$9.30,1.34
2023-03-31,11.19,$6.57,1.7
2022-12-31,9.64,$6.27,1.54
2022-09-30,6.98,$7.49,0.93
2022-06-30,7.98,$-6.54,0.0
2022-03-31,8.61,$-3.22,0.0
2021-12-31,9.15,$-4.07,0.0
2021-09-30,11.6,$-3.69,0.0
2021-06-30,13.04,$0.96,13.55
2021-03-31,7.85,$0.57,13.68
2020-12-31,6.64,$-0.64,0.0
2020-09-30,5.59,$-0.17,0.0
2020-06-30,4.85,$0.50,9.76
2020-03-31,4.22,$0.90,4.69
2019-12-31,5.74,$2.99,1.92
2019-09-30,6.17,$2.44,2.52
2019-06-30,6.57,$1.26,5.2
2019-03-31,7.2,$1.26,5.72
2018-12-31,6.57,$0.72,9.08
2018-09-30,8.72,$0.14,61.93
2018-06-30,7.47,$-0.03,0.0
2018-03-31,5.4,$0.41,13.06
2017-12-31,5.21,$-1.05,0.0
2017-09-30,5.64,$-0.54,0.0
2017-06-30,5.2,$0.49,10.56
2017-03-31,5.89,$-0.15,0.0
2016-12-31,6.07,$0.26,23.05
2016-09-30,4.91,$0.84,5.83
2016-06-30,5.3,$-0.39,0.0
2016-03-31,4.92,$0.13,37.08
2015-12-31,5.01,$-0.31,0.0
2015-09-30,5.42,$-0.74,0.0
2015-06-30,5.64,$-0.95,0.0
2015-03-31,5.59,$-1.80,0.0
2014-12-31,6.3,$-1.40,0.0
2014-09-30,7.11,$-0.84,0.0
2014-06-30,7.55,$-0.79,0.0
2014-03-31,7.52,$0.15,51.73
2013-12-31,7.56,$0.45,16.78
2013-09-30,8.83,$-0.06,0.0
2013-06-30,8.62,$1.53,5.64
2013-03-31,8.64,$1.62,5.32
2012-12-31,8.68,$0.60,14.39
2012-09-30,8.26,$0.69,11.91
2012-06-30,8.1,$0.07,122.61
2012-03-31,8.62,$1.20,7.21
2011-12-31,8.21,$0.94,8.76
2011-09-30,6.72,$0.89,7.52
2011-06-30,8.14,$1.25,6.5
2011-03-31,7.66,$-1.10,0.0
2010-12-31,6.5,$0.00,0.0
2010-09-30,4.75,$-0.09,0.0
2010-06-30,3.84,$-1.04,0.0
2010-03-31,3.95,$0.55,7.2
2009-12-31,4.01,$4.14,0.97
