BayFirst Financial Price to Free Cash Flow Ratio Historical Data,BayFirst Financial Price to Free Cash Flow Ratio Historical Data,BayFirst Financial Price to Free Cash Flow Ratio Historical Data,BayFirst Financial Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,18.68,,0.2
2024-09-30,13.15,$94.31,0.14
2024-06-30,11.62,$102.42,0.11
2024-03-31,12.95,$112.00,0.12
2023-12-31,13.05,$97.61,0.13
2023-09-30,11.23,$112.02,0.1
2023-06-30,13.5,$108.61,0.12
2023-03-31,15.53,$91.72,0.17
2022-12-31,16.72,$102.40,0.16
2022-09-30,16.55,$182.61,0.09
