Luna Innovations Price to Free Cash Flow Ratio Historical Data,Luna Innovations Price to Free Cash Flow Ratio Historical Data,Luna Innovations Price to Free Cash Flow Ratio Historical Data,Luna Innovations Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-01-06,0.89,,0.0
2023-09-30,5.86,$-0.47,0.0
2023-06-30,9.12,$-0.43,0.0
2023-03-31,7.19,$-0.40,0.0
2022-12-31,8.79,$-0.35,0.0
2022-09-30,4.44,$-0.08,0.0
2022-06-30,5.83,$-0.06,0.0
2022-03-31,7.71,$0.10,76.41
2021-12-31,8.44,$0.10,87.01
2021-09-30,9.5,$0.09,111.5
2021-06-30,10.83,$-0.03,0.0
2021-03-31,10.53,$-0.01,0.0
2020-12-31,9.88,$0.08,124.91
2020-09-30,5.98,$0.12,50.72
2020-06-30,5.84,$0.12,50.74
2020-03-31,6.15,$0.08,76.11
2019-12-31,7.29,$0.13,54.53
2019-09-30,5.79,$0.02,346.71
2019-06-30,4.5,$0.00,0.0
2019-03-31,4.17,$0.03,163.53
2018-12-31,3.35,$-0.11,0.0
2018-09-30,3.23,$-0.12,0.0
2018-06-30,2.98,$-0.07,0.0
2018-03-31,3.24,$-0.11,0.0
2017-12-31,2.43,$-0.02,0.0
2017-09-30,1.69,$0.00,0.0
2017-06-30,1.51,$-0.02,0.0
2017-03-31,1.73,$-0.01,0.0
2016-12-31,1.47,$-0.07,0.0
2016-09-30,1.41,$-0.09,0.0
2016-06-30,1.24,$-0.02,0.0
2016-03-31,1.05,$-0.29,0.0
2015-12-31,1.08,$-0.25,0.0
2015-09-30,0.93,$-0.24,0.0
2015-06-30,1.03,$-0.29,0.0
2015-03-31,1.35,$-0.12,0.0
2014-12-31,1.42,$-0.20,0.0
2014-09-30,1.39,$-0.26,0.0
2014-06-30,1.37,$-0.27,0.0
2014-03-31,1.47,$-0.22,0.0
2013-12-31,1.4,$-0.14,0.0
2013-09-30,1.35,$-0.07,0.0
2013-06-30,1.25,$-0.04,0.0
2013-03-31,1.26,$-0.03,0.0
2012-12-31,1.2,$-0.05,0.0
2012-09-30,1.66,$0.09,17.49
2012-06-30,1.38,$-0.00,0.0
2012-03-31,1.67,$0.10,17.32
2011-12-31,1.73,$0.17,9.95
2011-09-30,1.21,$0.03,37.12
2011-06-30,1.67,$0.20,8.26
2011-03-31,2.47,$0.14,17.24
2010-12-31,1.67,$-0.01,0.0
2010-09-30,2.0,$-0.02,0.0
2010-06-30,2.2,$-0.32,0.0
2010-03-31,2.29,$-0.36,0.0
2009-12-31,2.14,$-0.42,0.0
