Cohen & Steers Inc Price to Free Cash Flow Ratio Historical Data,Cohen & Steers Inc Price to Free Cash Flow Ratio Historical Data,Cohen & Steers Inc Price to Free Cash Flow Ratio Historical Data,Cohen & Steers Inc Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,78.91,,47.27
2024-12-31,92.34,$1.67,55.31
2024-09-30,95.39,$1.97,48.32
2024-06-30,71.62,$2.49,28.77
2024-03-31,75.26,$2.73,27.6
2023-12-31,73.54,$2.32,31.69
2023-09-30,60.22,$2.51,24.03
2023-06-30,55.23,$2.56,21.54
2023-03-31,60.28,$2.94,20.5
2022-12-31,60.37,$1.17,51.8
2022-09-30,58.07,$1.48,39.37
2022-06-30,58.55,$2.05,28.57
2022-03-31,78.48,$2.55,30.81
2021-12-31,83.94,$4.89,17.15
2021-09-30,74.74,$3.46,21.58
2021-06-30,72.87,$2.49,29.29
2021-03-31,57.63,$2.09,27.64
2020-12-31,65.1,$1.78,36.56
2020-09-30,47.8,$3.14,15.2
2020-06-30,57.99,$3.07,18.92
2020-03-31,38.48,$3.38,11.38
2019-12-31,52.8,$2.87,18.39
2019-09-30,44.61,$2.16,20.62
2019-06-30,41.49,$2.29,18.13
2019-03-31,33.85,$1.45,23.27
2018-12-31,27.25,$1.46,18.68
2018-09-30,29.89,$1.90,15.74
2018-06-30,30.46,$1.88,16.18
2018-03-31,29.44,$0.72,41.14
2017-12-31,33.97,$1.30,26.16
2017-09-30,27.58,$1.28,21.49
2017-06-30,28.1,$1.21,23.13
2017-03-31,27.51,$2.29,12.01
2016-12-31,22.95,$2.26,10.17
2016-09-30,28.58,$1.60,17.92
2016-06-30,26.88,$1.68,15.99
2016-03-31,25.69,$1.81,14.19
2015-12-31,19.97,$1.90,10.49
2015-09-30,17.56,$2.21,7.93
2015-06-30,21.61,$1.82,11.85
2015-03-31,25.79,$1.09,23.63
2014-12-31,26.34,$1.07,24.7
2014-09-30,23.41,$1.04,22.57
2014-06-30,26.28,$1.63,16.11
2014-03-31,24.01,$2.07,11.6
2013-12-31,24.01,$1.54,15.54
2013-09-30,20.54,$1.74,11.82
2013-06-30,19.65,$0.72,27.44
2013-03-31,20.75,$1.13,18.35
2012-12-31,17.43,$0.38,45.65
2012-09-30,16.0,$0.10,163.4
2012-06-30,18.45,$0.66,27.96
2012-03-31,16.96,$0.55,30.88
2011-12-31,15.28,$1.58,9.66
2011-09-30,15.12,$1.54,9.83
2011-06-30,16.87,$1.43,11.78
2011-03-31,15.03,$0.86,17.46
2010-12-31,13.15,$1.18,11.1
2010-09-30,10.89,$0.93,11.69
2010-06-30,9.42,$0.72,13.1
2010-03-31,11.29,$0.70,16.08
2009-12-31,10.29,$0.46,22.17
