Wendy's Price to Free Cash Flow Ratio Historical Data,Wendy's Price to Free Cash Flow Ratio Historical Data,Wendy's Price to Free Cash Flow Ratio Historical Data,Wendy's Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,15.43,,14.44
2024-12-31,16.3,$1.07,15.26
2024-09-30,17.28,$1.25,13.87
2024-06-30,16.48,$1.16,14.25
2024-03-31,18.04,$1.38,13.07
2023-12-31,18.4,$1.19,15.42
2023-09-30,19.03,$1.17,16.2
2023-06-30,20.02,$1.00,19.98
2023-03-31,19.83,$0.95,20.98
2022-12-31,20.37,$0.79,25.75
2022-09-30,16.73,$0.55,30.61
2022-06-30,16.79,$0.91,18.51
2022-03-31,19.41,$0.90,21.66
2021-12-31,20.95,$1.19,17.55
2021-09-30,18.93,$1.49,12.66
2021-06-30,20.35,$1.54,13.24
2021-03-31,17.52,$1.42,12.36
2020-12-31,18.87,$0.94,19.98
2020-09-30,19.13,$0.81,23.52
2020-06-30,18.65,$0.39,48.11
2020-03-31,12.71,$0.57,22.24
2019-12-31,18.85,$0.93,20.33
2019-09-30,16.86,$0.70,24.06
2019-06-30,16.45,$0.67,24.38
2019-03-31,14.95,$0.62,23.93
2018-12-31,12.97,$0.64,20.16
2018-09-30,14.17,$0.98,14.54
2018-06-30,14.14,$0.52,27.32
2018-03-31,14.37,$0.75,19.18
2017-12-31,13.37,$0.62,21.48
2017-09-30,12.59,$0.48,26.24
2017-06-30,12.51,$0.64,19.42
2017-03-31,10.93,$0.23,47.93
2016-12-31,10.81,$0.16,65.81
2016-09-30,8.59,$0.39,22.26
2016-06-30,7.6,$0.44,17.17
2016-03-31,8.56,$0.46,18.73
2015-12-31,8.41,$0.31,27.34
2015-09-30,6.72,$0.38,17.51
2015-06-30,8.71,$0.41,21.47
2015-03-31,8.37,$0.31,27.42
2014-12-31,6.9,$0.31,22.06
2014-09-30,6.27,$0.29,21.84
2014-06-30,6.44,$0.39,16.34
2014-03-31,6.84,$0.55,12.36
2013-12-31,6.51,$0.64,10.19
2013-09-30,6.29,$0.35,17.98
2013-06-30,4.3,$0.23,18.69
2013-03-31,4.16,$0.18,23.05
2012-12-31,3.42,$0.04,96.84
2012-09-30,3.26,$0.00,0.0
2012-06-30,3.39,$0.27,12.35
2012-03-31,3.58,$0.29,12.55
2011-12-31,3.82,$0.50,7.58
2011-09-30,3.25,$0.51,6.41
2011-06-30,3.58,$0.26,13.79
2011-03-31,3.54,$0.24,14.88
2010-12-31,3.24,$0.20,16.47
2010-09-30,3.16,$0.21,14.95
2010-06-30,2.78,$0.33,8.47
2010-03-31,3.46,$0.36,9.57
2009-12-31,3.24,$0.44,7.29
