Parke Bancorp Price to Free Cash Flow Ratio Historical Data,Parke Bancorp Price to Free Cash Flow Ratio Historical Data,Parke Bancorp Price to Free Cash Flow Ratio Historical Data,Parke Bancorp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,18.78,,6.51
2024-12-31,20.51,$2.89,7.11
2024-09-30,20.72,$2.93,7.07
2024-06-30,17.05,$2.10,8.12
2024-03-31,16.7,$1.71,9.75
2023-12-31,19.45,$1.91,10.21
2023-09-30,15.65,$1.91,8.2
2023-06-30,15.98,$2.99,5.35
2023-03-31,16.54,$3.73,4.44
2022-12-31,19.13,$3.56,5.38
2022-09-30,19.33,$3.56,5.42
2022-06-30,19.03,$3.42,5.57
2022-03-31,21.29,$2.98,7.14
2021-12-31,19.05,$3.18,5.99
2021-09-30,19.47,$3.95,4.93
2021-06-30,17.25,$4.01,4.3
2021-03-31,17.49,$3.51,4.99
2020-12-31,13.53,$3.38,4.01
2020-09-30,10.23,$2.60,3.93
2020-06-30,11.46,$2.44,4.69
2020-03-31,11.25,$2.72,4.13
2019-12-31,19.13,$2.82,6.79
2019-09-30,16.62,$2.91,5.7
2019-06-30,17.79,$2.69,6.62
2019-03-31,15.42,$2.72,5.66
2018-12-31,13.71,$2.40,5.72
2018-09-30,16.34,$2.23,7.32
2018-06-30,17.11,$2.28,7.52
2018-03-31,13.6,$1.73,7.85
2017-12-31,13.36,$1.46,9.17
2017-09-30,14.36,$0.97,14.85
2017-06-30,14.41,$0.66,21.8
2017-03-31,12.43,$5.53,2.25
2016-12-31,11.67,$5.34,2.18
2016-09-30,8.69,$4.81,1.81
2016-06-30,7.4,$4.73,1.56
2016-03-31,6.86,$0.32,21.73
2015-12-31,6.42,$0.41,15.81
2015-09-30,6.47,$1.52,4.25
2015-06-30,6.53,$2.45,2.66
2015-03-31,6.39,$2.79,2.29
2014-12-31,5.83,$2.28,2.56
2014-09-30,5.3,$1.24,4.28
2014-06-30,5.82,$0.21,27.78
2014-03-31,5.55,$-0.05,0.0
2013-12-31,4.46,$0.60,7.38
2013-09-30,4.4,$1.60,2.75
2013-06-30,3.83,$1.73,2.21
2013-03-31,3.24,$1.79,1.81
2012-12-31,2.26,$1.97,1.15
2012-09-30,2.5,$2.03,1.23
2012-06-30,2.37,$2.22,1.07
2012-03-31,2.92,$2.20,1.33
2011-12-31,2.26,$1.96,1.15
2011-09-30,2.93,$2.17,1.35
2011-06-30,3.21,$1.73,1.85
2011-03-31,3.45,$1.55,2.23
2010-12-31,3.76,$1.77,2.13
2010-09-30,3.36,$0.65,5.15
2010-06-30,3.48,$1.15,3.03
2010-03-31,3.43,$1.06,3.23
2009-12-31,3.19,$0.76,4.18
