Chicago Atlantic BDC Price to Free Cash Flow Ratio Historical Data,Chicago Atlantic BDC Price to Free Cash Flow Ratio Historical Data,Chicago Atlantic BDC Price to Free Cash Flow Ratio Historical Data,Chicago Atlantic BDC Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,11.36,,7.48
2024-09-30,10.64,$1.52,7.01
2024-06-30,11.82,$2.02,5.85
2024-03-31,9.61,$1.68,5.72
2023-12-31,8.44,$0.93,9.12
2023-09-30,9.68,$3.67,2.64
2023-06-30,8.18,$3.61,2.27
2023-03-31,9.19,$-0.27,0.0
2022-12-31,9.8,0,0.0
