Argan Price to Free Cash Flow Ratio Historical Data,Argan Price to Free Cash Flow Ratio Historical Data,Argan Price to Free Cash Flow Ratio Historical Data,Argan Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,120.59,,11.86
2024-10-31,132.04,$10.17,12.99
2024-07-31,78.69,$12.32,6.38
2024-04-30,59.84,$9.84,6.08
2024-01-31,43.81,$8.42,5.2
2023-10-31,44.91,$9.76,4.6
2023-07-31,37.1,$4.15,8.95
2023-04-30,38.98,$0.17,232.17
2023-01-31,37.53,$-2.36,0.0
2022-10-31,33.15,$-6.32,0.0
2022-07-31,35.26,$-5.22,0.0
2022-04-30,34.66,$-2.00,0.0
2022-01-31,34.77,$1.70,20.5
2021-10-31,38.36,$4.64,8.26
2021-07-31,41.56,$7.46,5.57
2021-04-30,46.11,$9.52,4.84
2021-01-31,39.56,$11.02,3.59
2020-10-31,36.67,$11.28,3.25
2020-07-31,37.96,$12.99,2.92
2020-04-30,32.34,$7.96,4.06
2020-01-31,36.03,$2.98,12.1
2019-10-31,32.2,$-0.31,0.0
2019-07-31,34.78,$-7.20,0.0
2019-04-30,40.17,$-6.04,0.0
2019-01-31,35.29,$-7.71,0.0
2018-10-31,36.57,$-10.01,0.0
2018-07-31,31.72,$-11.01,0.0
2018-04-30,32.82,$-11.53,0.0
2018-01-31,35.54,$-4.92,0.0
2017-10-31,56.04,$2.99,18.76
2017-07-31,51.75,$11.14,4.65
2017-04-30,53.68,$15.99,3.36
2017-01-31,59.22,$16.40,3.61
2016-10-31,45.65,$12.57,3.63
2016-07-31,36.38,$6.97,5.22
2016-04-30,26.96,$0.72,37.59
2016-01-31,23.75,$-2.41,0.0
2015-10-31,29.14,$-2.87,0.0
2015-07-31,30.07,$-0.81,0.0
2015-04-30,24.99,$3.11,8.05
2015-01-31,23.52,$6.10,3.86
2014-10-31,26.92,$10.57,2.55
2014-07-31,25.63,$12.98,1.98
2014-04-30,20.24,$9.80,2.07
2014-01-31,21.48,$6.74,3.19
2013-10-31,16.82,$0.92,18.35
2013-07-31,11.57,$-1.90,0.0
2013-04-30,12.93,$0.03,398.94
2013-01-31,13.73,$1.67,8.22
2012-10-31,12.99,$4.42,2.94
2012-07-31,11.15,$6.17,1.81
2012-04-30,10.28,$7.34,1.4
2012-01-31,10.23,$5.58,1.83
2011-10-31,9.59,$4.31,2.23
2011-07-31,7.07,$2.41,2.93
2011-04-30,6.4,$1.13,5.67
2011-01-31,6.32,$1.38,4.59
2010-10-31,5.77,$1.42,4.06
2010-07-31,5.68,$1.14,4.96
2010-04-30,7.74,$0.07,108.25
2010-01-31,9.68,$-0.94,0.0
2009-10-31,8.41,$-2.42,0.0
