Lion Price to Free Cash Flow Ratio Historical Data,Lion Price to Free Cash Flow Ratio Historical Data,Lion Price to Free Cash Flow Ratio Historical Data,Lion Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.1,,inf
2021-06-30,2.08,0,0.0
2020-12-31,1.93,$3.33,0.58
2020-06-30,3.05,$6.94,0.44
2020-03-31,10.08,$13.63,0.74
