Agora Price to Free Cash Flow Ratio Historical Data,Agora Price to Free Cash Flow Ratio Historical Data,Agora Price to Free Cash Flow Ratio Historical Data,Agora Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,4.93,,0.0
2024-09-30,2.41,$-0.31,0.0
2024-06-30,2.12,$-0.28,0.0
2024-03-31,2.51,$-0.26,0.0
2023-12-31,2.63,$-0.25,0.0
2023-09-30,2.53,$-0.45,0.0
2023-06-30,3.13,$-0.46,0.0
2023-03-31,3.62,$-0.49,0.0
2022-12-31,3.91,$-0.51,0.0
2022-09-30,3.63,$-0.33,0.0
2022-06-30,6.57,$-0.34,0.0
2022-03-31,9.94,$-0.31,0.0
2021-12-31,16.21,$-0.29,0.0
2021-09-30,29.0,$-0.16,0.0
2021-06-30,41.96,$-0.14,0.0
2021-03-31,50.27,$-0.11,0.0
