MidWestOne Financial Price to Free Cash Flow Ratio Historical Data,MidWestOne Financial Price to Free Cash Flow Ratio Historical Data,MidWestOne Financial Price to Free Cash Flow Ratio Historical Data,MidWestOne Financial Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,29.6,,8.29
2024-12-31,29.12,$3.57,8.16
2024-09-30,28.32,$2.27,12.45
2024-06-30,22.14,$3.36,6.6
2024-03-31,22.81,$3.27,6.98
2023-12-31,25.92,$3.80,6.82
2023-09-30,19.36,$4.56,4.25
2023-06-30,20.12,$5.43,3.7
2023-03-31,22.7,$5.09,4.46
2022-12-31,29.28,$5.59,5.24
2022-09-30,24.99,$8.54,2.93
2022-06-30,27.01,$4.75,5.69
2022-03-31,29.85,$7.62,3.92
2021-12-31,28.96,$6.93,4.18
2021-09-30,26.79,$0.84,31.86
2021-06-30,25.36,$3.66,6.93
2021-03-31,27.11,$0.09,290.83
2020-12-31,21.27,$0.48,44.44
2020-09-30,15.37,$3.18,4.83
2020-06-30,17.0,$3.63,4.69
2020-03-31,17.6,$3.42,5.15
2019-12-31,30.22,$3.04,9.95
2019-09-30,25.31,$3.29,7.7
2019-06-30,23.02,$2.83,8.13
2019-03-31,22.28,$3.29,6.77
2018-12-31,20.17,$3.09,6.52
2018-09-30,27.06,$2.65,10.23
2018-06-30,27.28,$2.63,10.36
2018-03-31,26.73,$2.22,12.01
2017-12-31,26.76,$2.99,8.94
2017-09-30,26.81,$3.01,8.91
2017-06-30,26.78,$3.27,8.18
2017-03-31,26.96,$3.53,7.64
2016-12-31,29.44,$3.04,9.68
2016-09-30,23.66,$3.47,6.83
2016-06-30,22.13,$3.75,5.9
2016-03-31,21.16,$2.07,10.22
2015-12-31,23.3,$1.83,12.76
2015-09-30,22.31,$1.14,19.61
2015-06-30,24.97,$-0.17,0.0
2015-03-31,21.76,$1.72,12.67
2014-12-31,21.63,$1.30,16.58
2014-09-30,17.19,$1.69,10.19
2014-06-30,17.81,$2.26,7.9
2014-03-31,18.62,$2.85,6.53
2013-12-31,19.96,$2.79,7.16
2013-09-30,18.78,$3.28,5.72
2013-06-30,17.48,$2.07,8.44
2013-03-31,17.21,$2.20,7.81
2012-12-31,14.74,$2.85,5.18
2012-09-30,15.41,$2.59,5.94
2012-06-30,15.32,$3.48,4.4
2012-03-31,13.73,$2.16,6.36
2011-12-31,10.32,$2.47,4.19
2011-09-30,10.08,$2.64,3.82
2011-06-30,10.12,$2.11,4.8
2011-03-31,10.35,$2.83,3.66
2010-12-31,10.5,$2.27,4.64
2010-09-30,10.16,$0.65,15.71
2010-06-30,10.68,$1.58,6.74
2010-03-31,8.11,$1.07,7.56
2009-12-31,5.99,$1.02,5.86
