Comtech Telecommunications Price to Free Cash Flow Ratio Historical Data,Comtech Telecommunications Price to Free Cash Flow Ratio Historical Data,Comtech Telecommunications Price to Free Cash Flow Ratio Historical Data,Comtech Telecommunications Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.93,,0.0
2025-01-31,2.0,$-1.54,0.0
2024-10-31,3.72,$-2.55,0.0
2024-07-31,3.24,$-2.35,0.0
2024-04-30,1.88,$-2.14,0.0
2024-01-31,6.33,$-1.56,0.0
2023-10-31,12.2,$-0.95,0.0
2023-07-31,10.16,$-0.81,0.0
2023-04-30,10.35,$-0.97,0.0
2023-01-31,15.86,$-1.65,0.0
2022-10-31,10.97,$-1.19,0.0
2022-07-31,11.42,$-0.66,0.0
2022-04-30,13.24,$0.04,376.0
2022-01-31,19.65,$0.46,42.77
2021-10-31,20.76,$0.81,25.78
2021-07-31,23.92,$-2.21,0.0
2021-04-30,22.87,$-2.02,0.0
2021-01-31,20.27,$-1.96,0.0
2020-10-31,13.62,$-1.31,0.0
2020-07-31,15.43,$1.83,8.44
2020-04-30,17.28,$1.87,9.23
2020-01-31,26.84,$3.22,8.34
2019-10-31,32.35,$3.25,9.94
2019-07-31,27.46,$2.44,11.26
2019-04-30,21.63,$2.63,8.22
2019-01-31,22.86,$1.84,12.45
2018-10-31,25.46,$0.86,29.55
2018-07-31,30.55,$1.73,17.61
2018-04-30,27.73,$1.95,14.22
2018-01-31,19.55,$1.85,10.56
2017-10-31,19.35,$2.48,7.79
2017-07-31,16.12,$2.50,6.44
2017-04-30,12.48,$1.59,7.85
2017-01-31,9.49,$0.12,81.43
2016-10-31,9.11,$0.52,17.38
2016-07-31,11.13,$0.55,20.09
2016-04-30,20.15,$1.39,14.49
2016-01-31,16.04,$3.10,5.17
2015-10-31,19.55,$1.72,11.35
2015-07-31,23.01,$1.12,20.58
2015-04-30,22.86,$1.43,16.02
2015-01-31,25.88,$0.94,27.56
2014-10-31,29.55,$1.19,24.88
2014-07-31,26.01,$1.42,18.34
2014-04-30,24.0,$0.99,24.13
2014-01-31,22.99,$0.74,31.11
2013-10-31,22.48,$0.84,26.72
2013-07-31,20.08,$1.40,14.32
2013-04-30,18.07,$1.99,9.06
2013-01-31,19.22,$2.00,9.62
2012-10-31,18.06,$2.35,7.69
2012-07-31,19.4,$1.81,10.71
2012-04-30,21.75,$1.30,16.77
2012-01-31,21.52,$1.85,11.61
2011-10-31,22.88,$2.18,10.51
2011-07-31,18.46,$2.77,6.68
2011-04-30,19.22,$3.12,6.16
2011-01-31,18.88,$3.95,4.79
2010-10-31,20.55,$3.60,5.7
2010-07-31,14.27,$3.44,4.15
2010-04-30,20.66,$3.42,6.04
2010-01-31,23.39,$2.67,8.75
2009-10-31,21.24,$2.87,7.41
