AAR Price to Free Cash Flow Ratio Historical Data,AAR Price to Free Cash Flow Ratio Historical Data,AAR Price to Free Cash Flow Ratio Historical Data,AAR Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,67.81,,127.82
2024-11-30,69.52,$0.53,131.05
2024-08-31,65.78,$0.44,149.4
2024-05-31,70.99,$0.39,180.77
2024-02-29,66.78,$1.02,65.57
2023-11-30,69.3,$0.82,84.16
2023-08-31,61.6,$-0.97,0.0
2023-05-31,50.11,$-0.18,0.0
2023-02-28,54.39,$-0.37,0.0
2022-11-30,46.56,$-0.27,0.0
2022-08-31,42.88,$1.79,23.9
2022-05-31,48.22,$1.81,26.62
2022-02-28,44.94,$1.48,30.41
2021-11-30,32.66,$1.54,21.26
2021-08-31,33.85,$1.66,20.36
2021-05-31,41.75,$2.66,15.69
2021-02-28,39.78,$1.15,34.48
2020-11-30,28.37,$0.80,35.59
2020-08-31,20.18,$0.37,55.18
2020-05-31,20.17,$-1.71,0.0
2020-02-29,34.41,$0.31,111.64
2019-11-30,44.43,$1.87,23.73
2019-08-31,42.63,$1.27,33.64
2019-05-31,29.81,$1.43,20.81
2019-02-28,36.11,$1.15,31.35
2018-11-30,43.1,$0.66,65.22
2018-08-31,45.96,$1.10,41.94
2018-05-31,43.94,$1.22,35.94
2018-02-28,41.79,$1.24,33.8
2017-11-30,40.74,$-0.19,0.0
2017-08-31,35.26,$-0.55,0.0
2017-05-31,34.1,$-0.10,0.0
2017-02-28,33.52,$1.43,23.5
2016-11-30,35.84,$0.53,67.74
2016-08-31,23.85,$1.70,14.01
2016-05-31,23.59,$-0.23,0.0
2016-02-29,20.51,$-4.45,0.0
2015-11-30,23.58,$-3.93,0.0
2015-08-31,23.28,$-4.59,0.0
2015-05-31,28.18,$-2.16,0.0
2015-02-28,27.98,$1.31,21.36
2014-11-30,24.33,$2.10,11.57
2014-08-31,26.21,$2.71,9.69
2014-05-31,22.93,$3.04,7.54
2014-02-28,27.2,$2.68,10.16
2013-11-30,29.3,$3.18,9.22
2013-08-31,23.48,$2.81,8.36
2013-05-31,18.72,$3.09,6.07
2013-02-28,16.33,$2.97,5.5
2012-11-30,14.22,$2.51,5.66
2012-08-31,13.71,$2.42,5.66
2012-05-31,11.04,$0.07,158.69
2012-02-29,20.11,$-0.90,0.0
2011-11-30,16.6,$-0.85,0.0
2011-08-31,21.35,$-1.23,0.0
2011-05-31,23.83,$-0.37,0.0
2011-02-28,24.57,$0.66,37.41
2010-11-30,22.11,$1.18,18.71
2010-08-31,13.83,$1.59,8.68
2010-05-31,17.73,$2.88,6.15
2010-02-28,20.42,$3.31,6.16
2009-11-30,16.8,$1.87,8.99
