Taoping Price to Free Cash Flow Ratio Historical Data,Taoping Price to Free Cash Flow Ratio Historical Data,Taoping Price to Free Cash Flow Ratio Historical Data,Taoping Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.28,,0.04
2018-03-31,107.4,$7.16,14.99
2017-03-31,42.6,$-25.67,0.0
2012-12-31,54.59,$-27.06,0.0
2012-09-30,70.2,$-16.96,0.0
2012-06-30,60.0,$-36.24,0.0
2012-03-31,74.4,$-10.90,0.0
2011-12-31,76.02,$-5.08,0.0
2011-09-30,110.4,$-6.31,0.0
2011-06-30,249.6,$-3.04,0.0
2011-03-31,324.0,$14.15,22.9
2010-12-31,625.2,$-16.55,0.0
2010-09-30,584.4,$-39.54,0.0
2010-06-30,624.0,$-34.08,0.0
2010-03-31,608.4,$-41.27,0.0
2009-12-31,739.2,$-19.61,0.0
