Burning Rock Biotech Price to Free Cash Flow Ratio Historical Data,Burning Rock Biotech Price to Free Cash Flow Ratio Historical Data,Burning Rock Biotech Price to Free Cash Flow Ratio Historical Data,Burning Rock Biotech Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,5.76,,0.0
2024-09-30,3.27,$-0.57,0.0
2024-06-30,6.45,$-1.15,0.0
2024-03-31,0.73,$-2.07,0.0
2023-12-31,0.93,$-3.63,0.0
2023-09-30,0.97,$-5.27,0.0
2023-06-30,2.15,$-5.69,0.0
2023-03-31,2.81,$-6.75,0.0
2022-12-31,2.25,$-7.32,0.0
2022-09-30,2.39,$-10.19,0.0
2022-06-30,2.91,$-11.13,0.0
2022-03-31,9.29,$-10.88,0.0
2021-12-31,9.53,$-10.36,0.0
2021-09-30,17.88,$-5.69,0.0
2021-06-30,29.46,$-3.45,0.0
2021-03-31,26.92,$-1.66,0.0
