Bank Of America Price to Free Cash Flow Ratio Historical Data,Bank Of America Price to Free Cash Flow Ratio Historical Data,Bank Of America Price to Free Cash Flow Ratio Historical Data,Bank Of America Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,42.48,,0.0
2024-12-31,43.95,$-1.11,0.0
2024-09-30,39.46,$-0.34,0.0
2024-06-30,39.29,$5.83,6.74
2024-03-31,37.46,$5.01,7.47
2023-12-31,33.03,$5.57,5.93
2023-09-30,26.65,$5.32,5.01
2023-06-30,27.69,$5.47,5.06
2023-03-31,27.39,$3.38,8.1
2022-12-31,31.51,$-0.77,0.0
2022-09-30,28.56,$0.69,41.38
2022-06-30,29.25,$0.03,916.9
2022-03-31,38.51,$-0.40,0.0
2021-12-31,41.36,$-0.84,0.0
2021-09-30,39.28,$0.11,371.61
2021-06-30,37.96,$-4.57,0.0
2021-03-31,35.47,$-3.81,0.0
2020-12-31,27.65,$4.32,6.4
2020-09-30,21.84,$4.37,5.0
2020-06-30,21.38,$7.50,2.85
2020-03-31,18.99,$7.15,2.66
2019-12-31,31.29,$6.54,4.78
2019-09-30,25.77,$-1.11,0.0
2019-06-30,25.46,$1.45,17.5
2019-03-31,24.09,$1.55,15.54
2018-12-31,21.41,$3.86,5.54
2018-09-30,25.45,$4.59,5.54
2018-06-30,24.23,$4.51,5.38
2018-03-31,25.67,$5.96,4.31
2017-12-31,25.18,$0.92,27.51
2017-09-30,21.52,$0.71,30.15
2017-06-30,20.5,$-1.11,0.0
2017-03-31,19.87,$-0.61,0.0
2016-12-31,18.56,$1.56,11.87
2016-09-30,13.09,$2.93,4.47
2016-06-30,11.05,$5.17,2.14
2016-03-31,11.22,$3.49,3.22
2015-12-31,13.92,$2.53,5.51
2015-09-30,12.85,$2.11,6.1
2015-06-30,13.99,$0.23,59.92
2015-03-31,12.61,$0.80,15.68
2014-12-31,14.62,$2.91,5.02
2014-09-30,13.89,$3.90,3.56
2014-06-30,12.48,$4.19,2.98
2014-03-31,13.96,$7.83,1.78
2013-12-31,12.63,$8.08,1.56
2013-09-30,11.19,$4.61,2.43
2013-06-30,10.42,$4.69,2.22
2013-03-31,9.86,$2.34,4.21
2012-12-31,9.39,$-1.48,0.0
2012-09-30,7.13,$3.34,2.13
2012-06-30,6.6,$1.25,5.28
2012-03-31,7.71,$4.80,1.61
2011-12-31,4.47,$6.16,0.73
2011-09-30,4.92,$4.36,1.13
2011-06-30,8.79,$9.45,0.93
2011-03-31,10.69,$5.87,1.82
2010-12-31,10.69,$8.33,1.28
2010-09-30,10.49,$13.07,0.8
2010-06-30,11.49,$10.29,1.12
2010-03-31,14.27,$10.37,1.38
2009-12-31,12.03,$16.50,0.73
