Terreno Realty Price to Free Cash Flow Ratio Historical Data,Terreno Realty Price to Free Cash Flow Ratio Historical Data,Terreno Realty Price to Free Cash Flow Ratio Historical Data,Terreno Realty Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,65.22,,0.0
2024-12-31,59.14,$-7.87,0.0
2024-09-30,66.31,$-5.69,0.0
2024-06-30,58.29,$-6.05,0.0
2024-03-31,64.91,$-1.36,0.0
2023-12-31,60.84,$-5.56,0.0
2023-09-30,54.75,$-4.91,0.0
2023-06-30,57.47,$-5.37,0.0
2023-03-31,61.36,$-8.14,0.0
2022-12-31,53.68,$-4.72,0.0
2022-09-30,49.67,$-8.42,0.0
2022-06-30,51.84,$-9.83,0.0
2022-03-31,68.47,$-7.79,0.0
2021-12-31,78.49,$-8.13,0.0
2021-09-30,57.94,$-4.37,0.0
2021-06-30,58.81,$-2.12,0.0
2021-03-31,52.38,$-1.52,0.0
2020-12-31,52.79,$-0.55,0.0
2020-09-30,48.9,$-0.23,0.0
2020-06-30,47.0,$-2.41,0.0
2020-03-31,45.97,$-3.11,0.0
2019-12-31,47.83,$-3.15,0.0
2019-09-30,44.67,$-3.77,0.0
2019-06-30,42.67,$-2.71,0.0
2019-03-31,36.58,$-2.11,0.0
2018-12-31,30.43,$-3.18,0.0
2018-09-30,32.2,$-4.37,0.0
2018-06-30,31.98,$-4.07,0.0
2018-03-31,29.3,$-6.25,0.0
2017-12-31,29.58,$-4.97,0.0
2017-09-30,30.15,$-3.99,0.0
2017-06-30,27.89,$-4.04,0.0
2017-03-31,23.2,$-2.27,0.0
2016-12-31,23.43,$-2.72,0.0
2016-09-30,22.29,$-3.30,0.0
2016-06-30,20.81,$-3.03,0.0
2016-03-31,18.87,$-2.72,0.0
2015-12-31,18.05,$-5.63,0.0
2015-09-30,15.43,$-8.46,0.0
2015-06-30,15.35,$-8.24,0.0
2015-03-31,17.64,$-9.50,0.0
2014-12-31,15.96,$-7.10,0.0
2014-09-30,14.36,$-8.02,0.0
2014-06-30,14.63,$-8.48,0.0
2014-03-31,14.21,$-10.15,0.0
2013-12-31,13.3,$-9.77,0.0
2013-09-30,13.15,$-6.50,0.0
2013-06-30,13.63,$-10.59,0.0
2013-03-31,13.14,$-12.73,0.0
2012-12-31,11.28,$-12.68,0.0
2012-09-30,11.37,$-15.20,0.0
2012-06-30,10.79,$-11.51,0.0
2012-03-31,10.15,$-11.06,0.0
2011-12-31,10.66,$-11.18,0.0
2011-09-30,8.96,$-10.24,0.0
2011-06-30,11.82,$-17.00,0.0
2011-03-31,11.9,$-12.31,0.0
2010-12-31,12.38,$-12.99,0.0
