Cenntro Price to Free Cash Flow Ratio Historical Data,Cenntro Price to Free Cash Flow Ratio Historical Data,Cenntro Price to Free Cash Flow Ratio Historical Data,Cenntro Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.92,,0.0
2024-09-30,1.17,$-0.87,0.0
2024-06-30,1.49,$-1.27,0.0
2024-03-31,1.42,$-1.81,0.0
2023-12-31,1.44,$-2.17,0.0
2023-09-30,0.24,$-1.74,0.0
2023-06-30,0.29,$-1.33,0.0
2023-03-31,0.46,$-0.66,0.0
2022-12-31,0.44,$0.05,8.92
2022-09-30,1.03,$0.05,20.89
2022-03-31,2.19,$0.02,107.35
2018-04-30,138.0,$-0.07,0.0
2018-01-31,143.0,$-0.33,0.0
2017-10-31,127.01,$-0.33,0.0
2017-07-31,132.0,$-0.47,0.0
2017-04-30,194.85,$-0.63,0.0
2017-01-31,121.0,$-0.68,0.0
2016-10-31,111.0,$-0.68,0.0
