Innovative Industrial Properties Price to Free Cash Flow Ratio Historical Data,Innovative Industrial Properties Price to Free Cash Flow Ratio Historical Data,Innovative Industrial Properties Price to Free Cash Flow Ratio Historical Data,Innovative Industrial Properties Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,63.38,,6.76
2024-12-31,66.64,$9.38,7.11
2024-09-30,134.6,$9.68,13.91
2024-06-30,107.7,$9.64,11.17
2024-03-31,100.35,$9.27,10.83
2023-12-31,96.04,$9.04,10.62
2023-09-30,70.82,$9.67,7.33
2023-06-30,66.7,$9.44,7.07
2023-03-31,67.78,$9.33,7.27
2022-12-31,88.27,$9.31,9.48
2022-09-30,75.74,$8.17,9.27
2022-06-30,92.15,$8.12,11.35
2022-03-31,169.58,$7.83,21.65
2021-12-31,215.23,$7.19,29.95
2021-09-30,188.16,$7.51,25.07
2021-06-30,154.48,$6.64,23.27
2021-03-31,144.65,$6.06,23.85
2020-12-31,145.95,$5.67,25.76
2020-09-30,98.25,$5.46,17.98
2020-06-30,69.03,$5.16,13.38
2020-03-31,58.86,$4.97,11.85
2019-12-31,58.09,$4.21,13.81
2019-09-30,69.77,$7.02,9.94
2019-06-30,92.58,$3.10,29.87
2019-03-31,60.9,$2.40,25.39
2018-12-31,33.66,$2.15,15.63
2018-09-30,35.5,$-1.55,0.0
2018-06-30,26.75,$1.59,16.86
2018-03-31,19.4,$1.52,12.73
2017-12-31,23.21,$1.49,15.62
2017-09-30,13.32,$0.44,30.43
