Bank Of N.T Butterfield & Son Price to Free Cash Flow Ratio Historical Data,Bank Of N.T Butterfield & Son Price to Free Cash Flow Ratio Historical Data,Bank Of N.T Butterfield & Son Price to Free Cash Flow Ratio Historical Data,Bank Of N.T Butterfield & Son Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,38.51,,7.22
2024-12-31,36.55,$5.34,6.85
2024-09-30,36.45,$6.96,5.24
2024-06-30,34.27,$5.16,6.64
2024-03-31,30.83,$4.73,6.52
2023-12-31,30.4,$5.56,5.47
2023-09-30,25.3,$4.69,5.39
2023-06-30,25.18,$4.87,5.17
2023-03-31,24.41,$4.20,5.81
2022-12-31,26.62,$3.90,6.83
2022-09-30,28.6,$3.85,7.42
2022-06-30,27.11,$4.83,5.61
2022-03-31,30.74,$4.93,6.24
2021-12-31,32.29,$4.81,6.71
2021-09-30,29.75,$4.17,7.14
2021-06-30,29.32,$4.08,7.19
2021-03-31,31.25,$4.40,7.1
2020-12-31,25.16,$3.30,7.63
2020-09-30,17.75,$1.56,11.36
2020-06-30,19.1,$3.51,5.45
2020-03-31,13.04,$3.39,3.85
2019-12-31,27.93,$4.23,6.6
2019-09-30,22.07,$6.72,3.29
2019-06-30,24.91,$4.37,5.7
2019-03-31,26.03,$4.26,6.12
2018-12-31,22.5,$5.09,4.42
2018-09-30,36.88,$4.80,7.68
2018-06-30,32.27,$4.17,7.73
2018-03-31,31.43,$4.69,6.69
2017-12-31,25.21,$4.07,6.2
2017-09-30,25.23,$3.88,6.5
2017-06-30,23.26,$5.85,3.97
