Fidus Investment Price to Free Cash Flow Ratio Historical Data,Fidus Investment Price to Free Cash Flow Ratio Historical Data,Fidus Investment Price to Free Cash Flow Ratio Historical Data,Fidus Investment Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,20.47,,0.0
2024-12-31,21.02,$-1.70,0.0
2024-09-30,19.6,$-2.16,0.0
2024-06-30,18.93,$-1.29,0.0
2024-03-31,18.62,$-1.98,0.0
2023-12-31,17.95,$-1.12,0.0
2023-09-30,16.82,$-0.74,0.0
2023-06-30,16.54,$-2.82,0.0
2023-03-31,15.53,$-2.27,0.0
2022-12-31,14.98,$-4.31,0.0
2022-09-30,13.12,$-1.98,0.0
2022-06-30,13.04,$1.26,10.33
2022-03-31,14.74,$1.38,10.67
2021-12-31,12.78,$6.87,1.86
2021-09-30,12.12,$4.41,2.75
2021-06-30,11.54,$3.89,2.97
2021-03-31,10.32,$3.53,2.92
2020-12-31,8.48,$2.29,3.7
2020-09-30,6.22,$1.46,4.27
2020-06-30,5.56,$-1.00,0.0
2020-03-31,3.92,$-1.60,0.0
2019-12-31,8.44,$-2.81,0.0
2019-09-30,8.21,$-0.76,0.0
2019-06-30,8.6,$-0.29,0.0
2019-03-31,8.07,$0.38,21.03
2018-12-31,6.0,$0.33,18.02
2018-09-30,7.27,$-2.14,0.0
2018-06-30,6.89,$-1.75,0.0
2018-03-31,6.08,$-1.71,0.0
2017-12-31,6.95,$-1.20,0.0
2017-09-30,7.17,$-2.29,0.0
2017-06-30,7.32,$-2.97,0.0
2017-03-31,7.47,$-1.53,0.0
2016-12-31,6.53,$-1.84,0.0
2016-09-30,6.37,$-0.03,0.0
2016-06-30,6.03,$0.21,28.54
2016-03-31,5.97,$-0.92,0.0
2015-12-31,5.13,$-1.20,0.0
2015-09-30,5.01,$-3.93,0.0
2015-06-30,5.28,$-5.69,0.0
2015-03-31,5.31,$-5.42,0.0
2014-12-31,5.01,$-4.97,0.0
2014-09-30,5.4,$-3.69,0.0
2014-06-30,6.55,$0.94,6.95
2014-03-31,6.03,$0.82,7.33
2013-12-31,6.66,$-0.15,0.0
2013-09-30,5.73,$0.11,51.97
2013-06-30,5.41,$-3.67,0.0
2013-03-31,5.42,$-5.16,0.0
2012-12-31,4.57,$-4.86,0.0
2012-09-30,4.52,$-5.28,0.0
2012-06-30,4.02,$-5.88,0.0
2012-03-31,3.62,$-5.91,0.0
