Marathon Digital Holdings Price to Free Cash Flow Ratio Historical Data,Marathon Digital Holdings Price to Free Cash Flow Ratio Historical Data,Marathon Digital Holdings Price to Free Cash Flow Ratio Historical Data,Marathon Digital Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,12.5,,0.0
2024-12-31,16.77,$-2.96,0.0
2024-09-30,16.22,$-1.87,0.0
2024-06-30,19.85,$-1.62,0.0
2024-03-31,22.58,$-1.51,0.0
2023-12-31,23.49,$-1.79,0.0
2023-09-30,8.5,$-2.34,0.0
2023-06-30,13.86,$-1.63,0.0
2023-03-31,8.72,$-0.67,0.0
2022-12-31,3.42,$-0.35,0.0
2022-09-30,10.71,$-1.57,0.0
2022-06-30,5.34,$-1.91,0.0
2022-03-31,27.95,$-2.97,0.0
2021-12-31,32.86,$-2.95,0.0
2021-09-30,31.58,$-0.85,0.0
2021-06-30,31.37,$-0.92,0.0
2021-03-31,48.02,$-0.49,0.0
2020-12-31,10.44,$-0.31,0.0
2020-09-30,1.96,$-0.51,0.0
2020-06-30,0.91,$-0.40,0.0
2020-03-31,0.45,$-0.49,0.0
2019-12-31,0.88,$-0.50,0.0
2019-09-30,1.75,$-0.68,0.0
2019-06-30,2.89,$-0.60,0.0
2019-03-31,2.08,$-0.18,0.0
2018-12-31,1.45,$-2.54,0.0
2018-09-30,2.92,$0.75,3.87
2018-06-30,3.68,$-3.75,0.0
2018-03-31,4.48,$-5.20,0.0
2017-12-31,16.4,$-6.63,0.0
2017-09-30,6.8,$-10.65,0.0
2017-06-30,6.05,$-7.42,0.0
2017-03-31,16.32,$6.67,2.45
2016-12-31,27.52,$10.72,2.57
2016-09-30,44.96,$11.79,3.81
2016-06-30,43.84,$16.11,2.72
2016-03-31,31.84,$-1.92,0.0
2015-12-31,25.6,$-3.40,0.0
2015-09-30,29.6,$-0.45,0.0
2015-06-30,46.4,$-3.86,0.0
2015-03-31,92.96,$2.05,45.29
2014-12-31,134.72,$6.04,22.3
2014-09-30,115.12,$2.23,51.66
2014-06-30,88.8,$1.99,44.7
2014-03-31,53.6,$0.47,113.75
2013-12-31,50.4,$-0.84,0.0
2013-09-30,41.52,$2.74,15.14
2013-06-30,36.4,$-4.34,0.0
2013-03-31,41.6,$-3.86,0.0
