RenaissanceRe Holdings Price to Free Cash Flow Ratio Historical Data,RenaissanceRe Holdings Price to Free Cash Flow Ratio Historical Data,RenaissanceRe Holdings Price to Free Cash Flow Ratio Historical Data,RenaissanceRe Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,235.7,,2.91
2024-12-31,248.81,$81.12,3.07
2024-09-30,272.0,$78.63,3.46
2024-06-30,222.85,$63.12,3.53
2024-03-31,233.92,$43.21,5.41
2023-12-31,194.75,$40.15,4.85
2023-09-30,196.28,$44.72,4.39
2023-06-30,184.62,$44.65,4.13
2023-03-31,197.9,$43.51,4.55
2022-12-31,181.64,$37.26,4.87
2022-09-30,138.13,$29.15,4.74
2022-06-30,153.47,$25.46,6.03
2022-03-31,155.19,$25.89,5.99
2021-12-31,165.35,$26.18,6.32
2021-09-30,135.83,$33.04,4.11
2021-06-30,144.65,$30.15,4.8
2021-03-31,155.39,$35.46,4.38
2020-12-31,160.44,$42.24,3.8
2020-09-30,163.89,$47.00,3.49
2020-06-30,164.8,$50.53,3.26
2020-03-31,143.61,$51.49,2.79
2019-12-31,188.07,$49.50,3.8
2019-09-30,185.28,$37.36,4.96
2019-06-30,170.18,$39.94,4.26
2019-03-31,136.93,$40.63,3.37
2018-12-31,127.28,$30.73,4.14
2018-09-30,126.85,$32.96,3.85
2018-06-30,113.98,$26.52,4.3
2018-03-31,130.86,$19.85,6.59
2017-12-31,118.36,$25.74,4.6
2017-09-30,127.04,$17.52,7.25
2017-06-30,130.4,$16.70,7.81
2017-03-31,135.35,$16.65,8.13
2016-12-31,127.19,$11.66,10.9
2016-09-30,111.93,$15.49,7.23
2016-06-30,109.11,$13.40,8.14
2016-03-31,111.02,$12.69,8.75
2015-12-31,104.59,$9.76,10.71
2015-09-30,97.97,$10.16,9.64
2015-06-30,93.28,$11.59,8.05
2015-03-31,91.38,$12.45,7.34
2014-12-31,88.82,$16.53,5.37
2014-09-30,91.07,$19.27,4.73
2014-06-30,97.18,$18.33,5.3
2014-03-31,88.4,$16.24,5.44
2013-12-31,87.9,$18.03,4.87
2013-09-30,81.51,$12.29,6.63
2013-06-30,77.89,$12.49,6.24
2013-03-31,82.29,$14.00,5.88
2012-12-31,72.46,$14.45,5.01
2012-09-30,68.47,$10.36,6.61
2012-06-30,67.32,$8.62,7.81
2012-03-31,66.83,$6.75,9.9
2011-12-31,65.39,$3.27,20.0
2011-09-30,55.89,$3.51,15.94
2011-06-30,61.04,$4.35,14.03
2011-03-31,59.98,$4.85,12.36
2010-12-31,55.15,$8.89,6.2
2010-09-30,51.72,$11.45,4.52
2010-06-30,48.33,$11.31,4.27
2010-03-31,48.54,$11.20,4.33
2009-12-31,45.24,$9.63,4.7
