Rallybio Price to Free Cash Flow Ratio Historical Data,Rallybio Price to Free Cash Flow Ratio Historical Data,Rallybio Price to Free Cash Flow Ratio Historical Data,Rallybio Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.7,,0.0
2024-12-31,0.96,$-1.13,0.0
2024-09-30,1.17,$-1.17,0.0
2024-06-30,1.34,$-1.28,0.0
2024-03-31,1.85,$-1.40,0.0
2023-12-31,2.39,$-1.49,0.0
2023-09-30,3.37,$-1.63,0.0
2023-06-30,5.66,$-1.70,0.0
2023-03-31,5.71,$-1.81,0.0
2022-12-31,6.57,$-1.80,0.0
2022-09-30,14.47,$-1.86,0.0
2022-06-30,7.55,$-2.69,0.0
