Hallador Energy Price to Free Cash Flow Ratio Historical Data,Hallador Energy Price to Free Cash Flow Ratio Historical Data,Hallador Energy Price to Free Cash Flow Ratio Historical Data,Hallador Energy Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,12.58,,0.0
2024-09-30,9.43,$-1.48,0.0
2024-06-30,7.77,$-0.43,0.0
2024-03-31,5.33,$-0.73,0.0
2023-12-31,8.84,$-0.43,0.0
2023-09-30,14.42,$1.57,9.17
2023-06-30,8.57,$1.11,7.74
2023-03-31,9.19,$0.56,16.35
2022-12-31,9.99,$0.02,417.99
2022-09-30,5.62,$-0.66,0.0
2022-06-30,5.41,$-0.11,0.0
2022-03-31,3.5,$0.56,6.21
2021-12-31,2.46,$0.67,3.68
2021-09-30,2.96,$1.01,2.94
2021-06-30,2.7,$0.88,3.06
2021-03-31,1.87,$0.62,3.0
2020-12-31,1.47,$1.05,1.4
2020-09-30,0.65,$0.45,1.44
2020-06-30,0.66,$0.15,4.45
2020-03-31,0.95,$0.03,28.41
2019-12-31,2.97,$0.09,31.6
2019-09-30,3.62,$0.69,5.22
2019-06-30,5.63,$0.86,6.55
2019-03-31,5.22,$0.86,6.1
2018-12-31,5.03,$0.55,9.14
2018-09-30,6.13,$0.52,11.86
2018-06-30,7.04,$0.72,9.76
2018-03-31,6.77,$1.02,6.65
2017-12-31,5.97,$1.27,4.7
2017-09-30,5.57,$1.08,5.16
2017-06-30,7.56,$0.91,8.33
2017-03-31,7.8,$1.15,6.77
2016-12-31,8.81,$0.64,13.76
2016-09-30,7.64,$0.96,7.97
2016-06-30,4.44,$1.14,3.89
2016-03-31,4.39,$1.54,2.85
2015-12-31,4.35,$2.19,1.99
2015-09-30,6.62,$2.52,2.62
2015-06-30,7.91,$1.99,3.98
2015-03-31,11.04,$1.40,7.86
2014-12-31,10.4,$1.04,9.97
2014-09-30,11.15,$0.29,38.79
2014-06-30,8.91,$0.27,33.22
2014-03-31,7.99,$0.04,179.52
2013-12-31,7.49,$-0.15,0.0
2013-09-30,6.75,$-0.28,0.0
2013-06-30,7.41,$0.15,49.88
2013-03-31,6.31,$0.31,20.38
2012-12-31,7.56,$0.64,11.81
2012-09-30,7.47,$0.91,8.23
2012-06-30,7.13,$1.22,5.84
2012-03-31,7.44,$1.48,5.04
2011-12-31,8.22,$1.43,5.77
2011-09-30,7.09,$1.26,5.64
2011-06-30,7.94,$0.70,11.27
2011-03-31,9.49,$0.39,24.61
2010-12-31,8.58,$0.35,24.73
2010-09-30,9.52,$0.43,21.89
2010-06-30,7.23,$0.34,21.26
2010-03-31,6.78,$0.18,37.9
2009-12-31,6.34,$0.04,152.33
