RCI Hospitality Holdings Price to Free Cash Flow Ratio Historical Data,RCI Hospitality Holdings Price to Free Cash Flow Ratio Historical Data,RCI Hospitality Holdings Price to Free Cash Flow Ratio Historical Data,RCI Hospitality Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,45.59,,13.71
2024-12-31,57.47,$3.33,17.28
2024-09-30,44.49,$3.38,13.15
2024-06-30,43.43,$2.59,16.78
2024-03-31,57.75,$2.22,26.01
2023-12-31,65.9,$2.66,24.76
2023-09-30,60.28,$2.01,30.02
2023-06-30,75.44,$2.85,26.46
2023-03-31,77.55,$3.89,19.93
2022-12-31,92.38,$3.89,23.75
2022-09-30,64.74,$4.32,15.0
2022-06-30,47.88,$3.93,12.18
2022-03-31,60.79,$3.45,17.6
2021-12-31,76.96,$3.29,23.38
2021-09-30,67.66,$3.16,21.39
2021-06-30,65.34,$2.98,21.95
2021-03-31,62.73,$1.77,35.53
2020-12-31,38.88,$1.20,32.46
2020-09-30,20.08,$1.32,15.25
2020-06-30,13.62,$1.23,11.07
2020-03-31,9.78,$1.70,5.76
2019-12-31,20.05,$1.82,11.01
2019-09-30,20.19,$1.71,11.84
2019-06-30,17.06,$0.88,19.38
2019-03-31,22.33,$0.26,85.51
2018-12-31,21.68,$-0.01,0.0
2018-09-30,28.71,$0.05,551.15
2018-06-30,30.66,$0.25,123.59
2018-03-31,27.48,$0.98,28.0
2017-12-31,27.06,$1.37,19.71
2017-09-30,23.91,$1.01,23.66
2017-06-30,23.0,$0.54,42.66
2017-03-31,16.69,$0.29,57.57
2016-12-31,16.45,$-0.56,0.0
2016-09-30,11.07,$-0.50,0.0
2016-06-30,9.75,$-1.52,0.0
2016-03-31,8.46,$-1.52,0.0
2015-12-31,9.5,$-0.36,0.0
2015-09-30,9.91,$-0.28,0.0
2015-06-30,11.32,$1.57,7.21
2015-03-31,9.9,$1.14,8.69
2014-12-31,9.53,$0.83,11.54
2014-09-30,10.48,$0.45,23.05
2014-06-30,9.71,$0.24,40.14
2014-03-31,10.72,$0.47,23.0
2013-12-31,11.02,$0.55,19.86
2013-09-30,11.22,$0.92,12.22
2013-06-30,8.21,$1.28,6.4
2013-03-31,8.41,$1.34,6.28
2012-12-31,7.65,$1.29,5.95
2012-09-30,7.88,$1.32,5.98
2012-06-30,8.25,$1.00,8.25
2012-03-31,8.88,$1.02,8.69
2011-12-31,8.05,$0.93,8.66
2011-09-30,6.33,$0.74,8.55
2011-06-30,8.03,$1.36,5.92
2011-03-31,10.37,$1.10,9.45
2010-12-31,7.45,$1.21,6.16
2010-09-30,6.93,$1.18,5.88
2010-06-30,7.51,$1.00,7.51
2010-03-31,12.18,$1.33,9.13
2009-12-31,8.14,$1.21,6.71
