Rail Vision Price to Free Cash Flow Ratio Historical Data,Rail Vision Price to Free Cash Flow Ratio Historical Data,Rail Vision Price to Free Cash Flow Ratio Historical Data,Rail Vision Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.48,,0.0
2023-12-31,1.52,$-4.12,0.0
2023-09-30,0.5,$-4.62,0.0
2023-06-30,0.51,$-5.26,0.0
2023-03-31,1.19,$-4.82,0.0
2022-12-31,1.14,$-5.65,0.0
