PropertyGuru Group Price to Free Cash Flow Ratio Historical Data,PropertyGuru Group Price to Free Cash Flow Ratio Historical Data,PropertyGuru Group Price to Free Cash Flow Ratio Historical Data,PropertyGuru Group Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-12-12,6.7,,38.71
2024-06-30,4.85,$0.17,28.02
2024-03-31,3.8,$0.15,24.71
2023-12-31,3.34,$0.14,23.11
2023-09-30,3.66,$-0.03,0.0
2023-06-30,4.44,$1.72,2.58
2023-03-31,5.0,$0.07,75.41
2022-09-30,4.48,$0.00,0.0
2022-06-30,4.5,$0.02,271.08
2021-12-31,9.91,$-1.73,0.0
