Tronox Holdings Price to Free Cash Flow Ratio Historical Data,Tronox Holdings Price to Free Cash Flow Ratio Historical Data,Tronox Holdings Price to Free Cash Flow Ratio Historical Data,Tronox Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,7.41,,0.0
2024-12-31,10.07,$-0.44,0.0
2024-09-30,14.48,$0.10,141.24
2024-06-30,15.39,$0.04,409.36
2024-03-31,16.91,$-0.06,0.0
2023-12-31,13.69,$-0.49,0.0
2023-09-30,12.85,$-0.03,0.0
2023-06-30,12.04,$0.40,30.03
2023-03-31,13.47,$-0.56,0.0
2022-12-31,12.75,$1.08,11.78
2022-09-30,11.28,$0.65,17.45
2022-06-30,15.36,$1.67,9.21
2022-03-31,17.96,$3.01,5.96
2021-12-31,21.66,$2.98,7.28
2021-09-30,22.13,$3.55,6.24
2021-06-30,20.0,$2.60,7.69
2021-03-31,16.29,$2.06,7.89
2020-12-31,12.95,$1.10,11.73
2020-09-30,6.93,$1.03,6.7
2020-06-30,6.31,$1.12,5.66
2020-03-31,4.3,$0.96,4.49
2019-12-31,9.76,$1.53,6.38
2019-09-30,7.07,$0.64,11.07
2019-06-30,10.81,$0.97,11.2
2019-03-31,11.08,$0.81,13.76
2018-12-31,6.53,$0.43,15.14
2018-09-30,9.99,$0.83,11.97
2018-06-30,16.41,$0.39,42.11
2018-03-31,15.33,$0.51,29.97
2017-12-31,17.02,$0.62,27.48
2017-09-30,17.48,$0.64,27.38
2017-06-30,12.49,$-0.10,0.0
2017-03-31,15.21,$0.10,145.1
2016-12-31,8.48,$-0.02,0.0
2016-09-30,7.67,$-0.41,0.0
2016-06-30,3.59,$-0.04,0.0
2016-03-31,5.15,$-0.28,0.0
2015-12-31,3.01,$-0.85,0.0
2015-09-30,3.21,$-1.08,0.0
2015-06-30,10.44,$-0.81,0.0
2015-03-31,14.31,$-0.86,0.0
2014-12-31,16.6,$-0.40,0.0
2014-09-30,17.92,$0.37,48.15
2014-06-30,18.34,$1.17,15.62
2014-03-31,16.04,$1.48,10.82
2013-12-31,15.41,$1.45,10.59
2013-09-30,16.16,$0.65,24.82
2013-06-30,13.16,$0.67,19.61
2013-03-31,12.79,$-0.22,0.0
2012-12-31,11.64,$-0.41,0.0
2012-09-30,14.22,$0.96,14.81
2012-06-30,14.98,$1.07,14.02
2012-03-31,21.62,$-0.88,0.0
2011-12-31,14.89,$-1.33,0.0
2011-09-30,9.68,$-1.65,0.0
