Great Southern Bancorp Price to Free Cash Flow Ratio Historical Data,Great Southern Bancorp Price to Free Cash Flow Ratio Historical Data,Great Southern Bancorp Price to Free Cash Flow Ratio Historical Data,Great Southern Bancorp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,57.14,,17.09
2024-12-31,59.7,$3.34,17.86
2024-09-30,57.31,$3.64,15.73
2024-06-30,54.82,$2.76,19.85
2024-03-31,53.64,$2.71,19.78
2023-12-31,58.07,$6.10,9.52
2023-09-30,46.57,$7.13,6.53
2023-06-30,48.89,$7.67,6.37
2023-03-31,48.46,$4.17,11.62
2022-12-31,56.46,$5.45,10.36
2022-09-30,53.8,$4.40,12.23
2022-06-30,54.82,$5.01,10.94
2022-03-31,54.86,$7.08,7.75
2021-12-31,54.77,$6.48,8.45
2021-09-30,50.35,$6.11,8.24
2021-06-30,49.19,$4.26,11.54
2021-03-31,51.39,$3.38,15.22
2020-12-31,44.09,$2.74,16.11
2020-09-30,32.44,$3.42,9.49
2020-06-30,35.8,$5.21,6.88
2020-03-31,35.51,$4.35,8.17
2019-12-31,54.23,$5.22,10.38
2019-09-30,48.51,$5.29,9.17
2019-06-30,50.68,$5.27,9.62
2019-03-31,43.72,$6.26,6.99
2018-12-31,38.0,$6.12,6.21
2018-09-30,45.38,$5.33,8.52
2018-06-30,46.62,$5.69,8.2
2018-03-31,40.51,$4.94,8.21
2017-12-31,41.66,$3.95,10.55
2017-09-30,44.68,$4.12,10.83
2017-06-30,42.77,$3.56,12.03
2017-03-31,40.19,$4.10,9.8
2016-12-31,43.3,$5.02,8.63
2016-09-30,32.12,$4.38,7.34
2016-06-30,29.02,$4.65,6.24
2016-03-31,28.96,$4.85,5.97
2015-12-31,35.09,$4.04,8.68
2015-09-30,33.41,$5.87,5.69
2015-06-30,32.35,$4.57,7.08
2015-03-31,30.08,$2.82,10.68
2014-12-31,30.13,$3.58,8.42
2014-09-30,22.93,$3.16,7.26
2014-06-30,24.07,$4.98,4.83
2014-03-31,22.41,$6.89,3.25
2013-12-31,22.54,$5.95,3.79
2013-09-30,20.8,$4.84,4.3
2013-06-30,19.74,$4.34,4.54
2013-03-31,17.74,$7.13,2.49
2012-12-31,18.37,$8.89,2.07
2012-09-30,22.15,$10.79,2.05
2012-06-30,19.66,$9.17,2.14
2012-03-31,16.99,$5.58,3.05
2011-12-31,16.58,$6.09,2.72
2011-09-30,11.7,$2.44,4.79
2011-06-30,13.07,$2.64,4.94
2011-03-31,14.66,$5.13,2.86
2010-12-31,15.98,$2.71,5.89
2010-09-30,14.64,$3.26,4.49
2010-06-30,13.55,$6.54,2.07
2010-03-31,14.84,$2.13,6.98
2009-12-31,14.02,$1.72,8.14
