1-800 FLOWERS.COM Price to Free Cash Flow Ratio Historical Data,1-800 FLOWERS.COM Price to Free Cash Flow Ratio Historical Data,1-800 FLOWERS.COM Price to Free Cash Flow Ratio Historical Data,1-800 FLOWERS.COM Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,5.67,,0.0
2024-12-31,8.17,$-0.12,0.0
2024-09-30,7.93,$0.25,31.42
2024-06-30,9.52,$0.87,10.91
2024-03-31,10.83,$1.59,6.81
2023-12-31,10.78,$1.47,7.36
2023-09-30,7.0,$1.20,5.82
2023-06-30,7.8,$1.09,7.14
2023-03-31,11.5,$-0.15,0.0
2022-12-31,9.56,$-0.64,0.0
2022-09-30,6.49,$-0.89,0.0
2022-06-30,9.51,$-0.93,0.0
2022-03-31,12.76,$-1.25,0.0
2021-12-31,23.37,$-0.43,0.0
2021-09-30,30.51,$0.81,37.5
2021-06-30,31.87,$1.77,17.96
2021-03-31,27.61,$2.98,9.27
2020-12-31,26.0,$3.82,6.81
2020-09-30,24.94,$1.87,13.31
2020-06-30,20.02,$1.58,12.7
2020-03-31,13.23,$0.91,14.48
2019-12-31,14.5,$1.03,14.03
2019-09-30,14.8,$0.64,23.17
2019-06-30,18.88,$0.69,27.55
2019-03-31,18.23,$0.87,21.03
2018-12-31,12.23,$0.73,16.76
2018-09-30,11.8,$0.55,21.47
2018-06-30,12.55,$0.37,33.56
2018-03-31,11.8,$0.51,23.21
2017-12-31,10.7,$0.55,19.35
2017-09-30,9.85,$0.60,16.33
2017-06-30,9.75,$0.40,24.14
2017-03-31,10.2,$0.12,82.32
2016-12-31,10.7,$0.31,34.56
2016-09-30,9.17,$0.47,19.56
2016-06-30,9.02,$0.35,25.49
2016-03-31,7.88,$0.47,16.7
2015-12-31,7.28,$0.42,17.53
2015-09-30,9.1,$0.12,75.92
2015-06-30,10.46,$1.38,7.59
2015-03-31,11.83,$1.94,6.1
2014-12-31,8.24,$2.61,3.16
2014-09-30,7.19,$0.33,22.11
2014-06-30,5.8,$0.29,19.71
2014-03-31,5.63,$0.18,30.47
2013-12-31,5.41,$0.16,34.11
2013-09-30,4.93,$0.02,202.05
2013-06-30,6.19,$0.22,28.32
2013-03-31,4.97,$0.35,14.1
2012-12-31,3.67,$0.35,10.38
2012-09-30,3.73,$0.38,9.81
2012-06-30,3.49,$0.34,10.23
2012-03-31,3.03,$0.36,8.51
2011-12-31,2.2,$0.42,5.23
2011-09-30,2.32,$0.04,60.89
2011-06-30,3.1,$0.21,15.08
2011-03-31,3.3,$0.15,21.63
2010-12-31,2.69,$-0.13,0.0
2010-09-30,1.89,$0.47,4.06
2010-06-30,2.06,$0.40,5.2
2010-03-31,2.51,$0.67,3.75
2009-12-31,2.65,$0.73,3.63
