Eltek Price to Free Cash Flow Ratio Historical Data,Eltek Price to Free Cash Flow Ratio Historical Data,Eltek Price to Free Cash Flow Ratio Historical Data,Eltek Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,8.67,,416.59
2024-09-30,10.91,$0.02,524.52
2024-06-30,9.75,$0.60,16.22
2024-03-31,11.14,$0.77,14.41
2023-12-31,13.95,$1.42,9.86
2023-09-30,9.33,$1.01,9.22
2023-06-30,9.21,$0.46,19.93
2023-03-31,4.09,$0.55,7.43
2022-12-31,4.05,$0.14,29.55
2022-09-30,3.37,$0.07,48.08
2022-06-30,3.56,$0.05,66.41
2022-03-31,3.86,$0.03,129.61
2021-12-31,3.52,$0.41,8.67
2021-09-30,5.47,$0.17,33.1
2021-06-30,5.79,$0.32,17.84
2021-03-31,5.88,$0.58,10.2
2020-12-31,4.76,$0.48,9.88
2020-09-30,4.5,$0.65,6.91
2020-06-30,3.76,$0.77,4.9
2020-03-31,3.35,$0.04,76.86
2019-12-31,3.41,$0.47,7.18
2019-09-30,3.09,$0.36,8.67
2019-06-30,4.12,$0.31,13.19
2019-03-31,1.54,$0.48,3.22
2018-12-31,2.01,$-0.71,0.0
2018-09-30,3.23,$-1.01,0.0
2018-06-30,3.69,$-1.88,0.0
2018-03-31,3.44,$-1.87,0.0
2017-12-31,3.86,$-1.83,0.0
2017-09-30,3.12,$-2.11,0.0
2017-06-30,3.31,$-1.24,0.0
2017-03-31,3.41,$-1.09,0.0
2016-12-31,3.74,$-0.27,0.0
2016-09-30,4.88,$1.04,4.67
2016-06-30,5.1,$1.10,4.63
2016-03-31,5.06,$1.05,4.84
2015-12-31,6.01,$0.46,13.11
2015-09-30,5.92,$-1.29,0.0
2015-06-30,4.21,$-1.55,0.0
2015-03-31,5.73,$-1.36,0.0
2014-12-31,5.53,$-1.16,0.0
2014-09-30,7.38,$0.46,16.11
2014-06-30,7.15,$0.46,15.59
2014-03-31,10.56,$0.46,23.03
2013-12-31,11.36,$0.46,24.78
2013-09-30,6.15,$2.68,2.3
2013-06-30,5.3,$2.68,1.98
2013-03-31,6.44,$2.68,2.4
2012-12-31,5.21,$2.68,1.94
2012-09-30,5.06,$1.16,4.38
2012-06-30,6.01,$1.16,5.19
2012-03-31,7.76,$1.16,6.71
2011-12-31,6.15,$1.16,5.31
2011-09-30,4.54,$0.79,5.72
2011-06-30,6.2,$0.79,7.81
2011-03-31,5.44,$0.79,6.85
2010-12-31,7.19,$0.79,9.06
2010-09-30,5.16,$0.27,18.95
2010-06-30,5.44,$0.27,19.99
2010-03-31,5.92,$0.27,21.73
2009-12-31,5.35,$0.27,19.64
