Contango ORE Price to Free Cash Flow Ratio Historical Data,Contango ORE Price to Free Cash Flow Ratio Historical Data,Contango ORE Price to Free Cash Flow Ratio Historical Data,Contango ORE Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,9.98,,5.72
2024-09-30,19.26,$1.75,11.03
2024-06-30,18.07,$-0.15,0.0
2024-03-31,19.85,$-0.04,0.0
2023-12-31,18.11,0,0.0
2023-09-30,18.14,$-1.63,0.0
2023-06-30,25.48,$-2.10,0.0
2023-03-31,28.5,$-0.59,0.0
2022-12-31,22.92,$-1.55,0.0
2022-09-30,29.9,$-1.58,0.0
