MGO Global Price to Free Cash Flow Ratio Historical Data,MGO Global Price to Free Cash Flow Ratio Historical Data,MGO Global Price to Free Cash Flow Ratio Historical Data,MGO Global Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-12-20,0.95,,0.0
2024-09-30,2.96,$-2.43,0.0
2024-06-30,0.57,$-4.01,0.0
2024-03-31,0.41,$-4.40,0.0
2023-12-31,0.43,$-5.17,0.0
