Hexcel Price to Free Cash Flow Ratio Historical Data,Hexcel Price to Free Cash Flow Ratio Historical Data,Hexcel Price to Free Cash Flow Ratio Historical Data,Hexcel Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,56.82,,23.24
2024-12-31,62.7,$2.44,25.65
2024-09-30,61.67,$2.42,25.53
2024-06-30,62.14,$2.21,28.1
2024-03-31,72.33,$1.93,37.55
2023-12-31,73.07,$1.86,39.24
2023-09-30,64.41,$1.33,48.61
2023-06-30,75.04,$0.85,88.57
2023-03-31,67.25,$1.37,48.99
2022-12-31,57.88,$1.39,41.7
2022-09-30,50.78,$1.11,45.77
2022-06-30,51.27,$1.13,45.31
2022-03-31,58.19,$1.07,54.59
2021-12-31,50.59,$1.46,34.57
2021-09-30,58.01,$1.82,31.79
2021-06-30,60.95,$2.50,24.4
2021-03-31,54.7,$2.69,20.32
2020-12-31,47.36,$2.54,18.62
2020-09-30,32.77,$3.31,9.89
2020-06-30,44.17,$3.07,14.39
2020-03-31,36.32,$3.30,11.0
2019-12-31,71.44,$3.35,21.36
2019-09-30,79.85,$2.54,31.41
2019-06-30,78.47,$2.72,28.82
2019-03-31,66.96,$2.46,27.27
2018-12-31,55.4,$2.67,20.78
2018-09-30,64.61,$2.14,30.19
2018-06-30,63.83,$2.11,30.25
2018-03-31,61.99,$2.01,30.85
2017-12-31,59.24,$1.64,36.15
2017-09-30,54.89,$1.15,47.74
2017-06-30,50.34,$1.15,43.9
2017-03-31,51.91,$1.24,42.01
2016-12-31,48.84,$0.78,62.6
2016-09-30,41.96,$1.41,29.68
2016-06-30,39.34,$0.92,43.0
2016-03-31,41.2,$0.28,145.53
2015-12-31,43.67,$-0.04,0.0
2015-09-30,42.09,$-0.26,0.0
2015-06-30,46.58,$-0.51,0.0
2015-03-31,48.05,$-0.32,0.0
2014-12-31,38.69,$0.59,65.95
2014-09-30,37.02,$0.12,308.74
2014-06-30,38.14,$0.52,74.02
2014-03-31,40.6,$0.70,58.4
2013-12-31,41.67,$0.76,54.54
2013-09-30,36.18,$0.88,40.99
2013-06-30,31.75,$0.54,58.32
2013-03-31,27.05,$0.14,187.72
2012-12-31,25.14,$-0.31,0.0
2012-09-30,22.4,$-0.56,0.0
2012-06-30,24.05,$-0.66,0.0
2012-03-31,22.39,$-0.28,0.0
2011-12-31,22.57,$0.12,181.91
2011-09-30,20.66,$0.52,40.08
2011-06-30,20.41,$0.76,27.01
2011-03-31,18.36,$0.69,26.74
2010-12-31,16.87,$0.78,21.69
2010-09-30,16.59,$0.54,30.53
2010-06-30,14.46,$0.65,22.28
2010-03-31,13.46,$0.92,14.69
2009-12-31,12.1,$0.76,15.98
