Extra Space Storage Inc Price to Free Cash Flow Ratio Historical Data,Extra Space Storage Inc Price to Free Cash Flow Ratio Historical Data,Extra Space Storage Inc Price to Free Cash Flow Ratio Historical Data,Extra Space Storage Inc Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,145.87,,25.45
2024-12-31,149.6,$5.73,26.1
2024-09-30,178.33,$6.36,28.04
2024-06-30,152.42,$6.17,24.69
2024-03-31,142.69,$5.73,24.89
2023-12-31,153.88,$5.72,26.91
2023-09-30,115.48,$4.56,25.33
2023-06-30,139.77,$1.09,128.55
2023-03-31,151.29,$0.31,487.86
2022-12-31,135.27,$-0.70,0.0
2022-09-30,157.24,$-1.74,0.0
2022-06-30,153.68,$1.26,121.77
2022-03-31,183.99,$1.00,184.39
2021-12-31,201.32,$1.66,121.51
2021-09-30,148.28,$2.37,62.64
2021-06-30,143.62,$2.63,54.64
2021-03-31,115.48,$3.35,34.44
2020-12-31,100.18,$3.25,30.86
2020-09-30,91.76,$3.53,25.96
2020-06-30,78.59,$3.93,19.99
2020-03-31,80.72,$3.75,21.55
2019-12-31,88.21,$2.26,39.08
2019-09-30,96.71,$1.93,50.04
2019-06-30,87.16,$2.01,43.39
2019-03-31,83.03,$0.71,116.56
2018-12-31,73.09,$1.79,40.74
2018-09-30,69.37,$0.72,96.31
2018-06-30,79.16,$0.65,121.25
2018-03-31,68.68,$1.74,39.46
2017-12-31,68.14,$1.62,42.16
2017-09-30,61.71,$0.89,69.04
2017-06-30,59.64,$-1.11,0.0
2017-03-31,56.29,$-2.47,0.0
2016-12-31,57.83,$-4.09,0.0
2016-09-30,58.82,$-2.71,0.0
2016-06-30,67.86,$-1.04,0.0
2016-03-31,67.93,$-1.29,0.0
2015-12-31,63.68,$-0.13,0.0
2015-09-30,55.32,$-0.86,0.0
2015-06-30,46.38,$-1.02,0.0
2015-03-31,47.64,$0.05,1013.53
2014-12-31,41.04,$-1.60,0.0
2014-09-30,35.81,$-2.42,0.0
2014-06-30,36.65,$-2.44,0.0
2014-03-31,33.09,$-2.62,0.0
2013-12-31,28.51,$-0.75,0.0
2013-09-30,30.66,$-0.83,0.0
2013-06-30,27.84,$-3.65,0.0
2013-03-31,25.82,$-3.73,0.0
2012-12-31,23.77,$-3.79,0.0
2012-09-30,21.57,$-2.48,0.0
2012-06-30,19.62,$0.01,0.0
2012-03-31,18.33,$-0.70,0.0
2011-12-31,15.31,$-0.67,0.0
2011-09-30,11.71,$-0.44,0.0
2011-06-30,13.31,$-0.40,0.0
2011-03-31,12.84,$0.14,94.6
2010-12-31,10.71,$0.14,76.0
2010-09-30,9.81,$0.33,29.92
2010-06-30,8.45,$0.21,41.21
2010-03-31,7.66,$0.22,34.22
2009-12-31,6.92,$-0.23,0.0
