Akero Therapeutics Price to Free Cash Flow Ratio Historical Data,Akero Therapeutics Price to Free Cash Flow Ratio Historical Data,Akero Therapeutics Price to Free Cash Flow Ratio Historical Data,Akero Therapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,44.66,,0.0
2024-12-31,27.82,$-3.43,0.0
2024-09-30,28.69,$-2.92,0.0
2024-06-30,23.46,$-3.20,0.0
2024-03-31,25.26,$-2.83,0.0
2023-12-31,23.35,$-2.77,0.0
2023-09-30,50.58,$-9.12,0.0
2023-06-30,46.69,$-2.08,0.0
2023-03-31,38.26,$-2.24,0.0
2022-12-31,54.8,$-2.37,0.0
2022-09-30,34.05,$-2.50,0.0
2022-06-30,9.45,$-2.38,0.0
2022-03-31,14.19,$-2.41,0.0
2021-12-31,21.15,$-2.29,0.0
2021-09-30,22.35,$-2.38,0.0
2021-06-30,24.81,$-2.17,0.0
2021-03-31,29.01,$-2.39,0.0
2020-12-31,25.8,$-2.26,0.0
2020-09-30,30.79,$-2.91,0.0
2020-06-30,24.92,$-0.25,0.0
2020-03-31,21.2,$-2.76,0.0
