Veren Price to Free Cash Flow Ratio Historical Data,Veren Price to Free Cash Flow Ratio Historical Data,Veren Price to Free Cash Flow Ratio Historical Data,Veren Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,6.63,,3.66
2024-12-31,5.14,$1.81,2.84
2024-09-30,6.01,$0.40,14.9
2024-06-30,7.58,$0.61,12.47
2024-03-31,7.81,$-2.33,0.0
2023-12-31,6.53,$-2.75,0.0
2023-09-30,7.72,$-1.52,0.0
2023-06-30,6.19,$-1.25,0.0
2023-03-31,6.42,$1.26,5.11
2022-12-31,6.41,$1.83,3.5
2022-09-30,5.46,$1.74,3.14
2022-06-30,6.25,$1.40,4.47
2022-03-31,6.33,$0.35,18.25
2021-12-31,4.64,$0.33,13.89
2021-09-30,3.99,$0.09,46.14
2021-06-30,3.92,$-0.03,0.0
2021-03-31,3.6,$0.49,7.29
2020-12-31,2.02,$0.95,2.14
2020-09-30,1.05,$1.79,0.59
2020-06-30,1.4,$1.93,0.73
2020-03-31,0.66,$2.52,0.26
2019-12-31,3.82,$1.85,2.07
2019-09-30,3.63,$1.03,3.53
2019-06-30,2.81,$0.80,3.5
2019-03-31,2.75,$0.67,4.08
2018-12-31,2.56,$0.22,11.51
2018-09-30,5.31,$0.22,24.0
2018-06-30,6.08,$0.01,590.41
2018-03-31,5.58,$-0.30,0.0
2017-12-31,6.19,$-0.25,0.0
2017-09-30,6.48,$-0.36,0.0
2017-06-30,6.1,$-0.55,0.0
2017-03-31,8.56,$-0.16,0.0
2016-12-31,10.69,$0.19,56.82
2016-09-30,10.33,$0.39,26.65
2016-06-30,12.29,$1.05,11.68
2016-03-31,10.73,$0.80,13.49
2015-12-31,8.89,$0.51,17.47
2015-09-30,8.58,$-1.22,0.0
2015-06-30,14.99,$-0.26,0.0
2015-03-31,15.96,$0.29,54.14
2014-12-31,16.17,$0.58,27.79
2014-09-30,24.68,$2.08,11.86
2014-06-30,29.82,$0.78,38.41
2014-03-31,24.19,$0.43,55.82
2013-12-31,25.29,$0.24,103.89
2013-09-30,24.28,$-0.60,0.0
2013-06-30,21.39,$-0.62,0.0
2013-03-31,23.29,$-1.06,0.0
2012-12-31,22.87,$-0.86,0.0
2012-09-30,26.25,0,0.0
