Radius Recycling Price to Free Cash Flow Ratio Historical Data,Radius Recycling Price to Free Cash Flow Ratio Historical Data,Radius Recycling Price to Free Cash Flow Ratio Historical Data,Radius Recycling Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,28.99,,0.0
2024-11-30,19.82,$-4.13,0.0
2024-08-31,15.0,$-4.56,0.0
2024-05-31,16.77,$-0.26,0.0
2024-02-29,19.17,$-1.32,0.0
2023-11-30,24.68,$3.38,7.3
2023-08-31,31.71,$0.35,90.22
2023-05-31,26.12,$0.94,27.83
2023-02-28,30.84,$3.17,9.74
2022-11-30,32.21,$1.48,21.73
2022-08-31,30.79,$2.96,10.39
2022-05-31,37.64,$1.97,19.09
2022-02-28,44.93,$2.53,17.78
2021-11-30,44.2,$1.36,32.43
2021-08-31,43.32,$2.46,17.61
2021-05-31,49.71,$0.84,58.84
2021-02-28,31.37,$0.33,94.04
2020-11-30,23.14,$0.69,33.3
2020-08-31,17.67,$1.61,11.0
2020-05-31,13.92,$1.62,8.57
2020-02-29,14.44,$1.78,8.12
2019-11-30,18.67,$2.74,6.8
2019-08-31,19.01,$1.84,10.32
2019-05-31,17.98,$2.72,6.6
2019-02-28,20.54,$3.53,5.82
2018-11-30,23.49,$2.57,9.13
2018-08-31,21.95,$2.87,7.65
2018-05-31,25.79,$1.52,16.97
2018-02-28,27.97,$1.22,22.91
2017-11-30,23.89,$1.07,22.37
2017-08-31,21.85,$1.97,11.09
2017-05-31,15.56,$2.00,7.78
2017-02-28,19.0,$0.66,28.82
2016-11-30,22.09,$1.05,21.03
2016-08-31,14.75,$2.38,6.21
2016-05-31,12.52,$3.18,3.94
2016-02-29,11.27,$5.36,2.1
2015-11-30,12.54,$6.28,2.0
2015-08-31,13.0,$4.16,3.13
2015-05-31,13.3,$4.24,3.14
2015-02-28,11.53,$2.83,4.07
2014-11-30,16.57,$2.39,6.95
2014-08-31,19.96,$3.78,5.28
2014-05-31,17.84,$2.12,8.41
2014-02-28,18.04,$2.42,7.46
2013-11-30,21.62,$1.76,12.31
2013-08-31,17.72,$-1.92,0.0
2013-05-31,17.21,$0.67,25.57
2013-02-28,19.79,$2.68,7.39
2012-11-30,19.38,$6.82,2.84
2012-08-31,18.86,$6.03,3.13
2012-05-31,17.7,$6.43,2.75
2012-02-29,30.47,$2.14,14.27
2011-11-30,31.29,$-1.23,0.0
2011-08-31,30.7,$1.27,24.18
2011-05-31,39.83,$-1.50,0.0
2011-02-28,43.25,$0.16,274.27
2010-11-30,38.45,$2.85,13.48
2010-08-31,29.79,$0.89,33.32
2010-05-31,33.68,$1.55,21.7
2010-02-28,30.72,$3.58,8.57
2009-11-30,30.01,$4.62,6.49
