Katapult Holdings Price to Free Cash Flow Ratio Historical Data,Katapult Holdings Price to Free Cash Flow Ratio Historical Data,Katapult Holdings Price to Free Cash Flow Ratio Historical Data,Katapult Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,12.94,,0.0
2024-09-30,10.39,$-3.53,0.0
2024-06-30,16.81,$-2.03,0.0
2024-03-31,11.66,$-3.25,0.0
2023-12-31,10.89,$-4.50,0.0
2023-09-30,10.24,$-7.00,0.0
2023-06-30,0.9,$-7.21,0.0
2023-03-31,0.45,$-7.29,0.0
2022-12-31,0.96,$-5.69,0.0
2022-09-30,0.96,$-0.93,0.0
2022-06-30,1.07,$-3.94,0.0
2022-03-31,2.38,$1.03,2.32
