Tandy Leather Factory Price to Free Cash Flow Ratio Historical Data,Tandy Leather Factory Price to Free Cash Flow Ratio Historical Data,Tandy Leather Factory Price to Free Cash Flow Ratio Historical Data,Tandy Leather Factory Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.0,,16.84
2024-12-31,4.79,$0.18,26.88
2024-09-30,4.19,$0.10,41.04
2024-06-30,4.5,$0.12,39.13
2024-03-31,4.65,$0.37,12.51
2023-12-31,4.26,$0.47,9.0
2023-09-30,4.21,$0.74,5.66
2023-06-30,4.22,$0.60,7.09
2023-03-31,4.7,$0.13,34.87
2022-12-31,4.25,$0.06,67.46
2022-09-30,3.63,$0.03,135.45
2022-06-30,3.0,$0.38,7.91
2022-03-31,3.0,$0.09,34.29
2021-12-31,3.0,$0.31,9.63
2021-09-30,3.0,$-0.11,0.0
2021-06-30,3.0,$-0.60,0.0
2021-03-31,3.0,$-0.82,0.0
2020-12-31,3.0,$-1.52,0.0
2020-09-30,3.0,$-1.43,0.0
2020-06-30,3.4,$-0.74,0.0
2020-03-31,3.6,$0.34,10.65
2019-12-31,5.71,$1.15,4.97
2019-09-30,4.65,$1.70,2.73
2019-06-30,5.5,$1.22,4.51
2019-03-31,6.0,$0.98,6.13
2018-12-31,5.68,$0.73,7.79
2018-09-30,7.35,$0.52,14.2
2018-06-30,7.8,$0.47,16.62
2018-03-31,7.1,$0.23,30.66
2017-12-31,7.75,$0.09,88.47
2017-09-30,7.85,$0.08,97.17
2017-06-30,8.9,$0.54,16.42
2017-03-31,8.2,$0.56,14.52
2016-12-31,8.1,$0.66,12.22
2016-09-30,7.7,$0.43,17.74
2016-06-30,7.11,$0.08,83.84
2016-03-31,6.95,$0.37,18.66
2015-12-31,7.34,$0.60,12.26
2015-09-30,7.23,$0.97,7.43
2015-06-30,8.6,$0.84,10.22
2015-03-31,8.86,$0.38,23.17
2014-12-31,9.0,$-0.10,0.0
2014-09-30,9.45,$-0.38,0.0
2014-06-30,8.85,$-0.20,0.0
2014-03-31,9.4,$0.21,44.11
2013-12-31,9.5,$0.37,25.7
2013-09-30,7.66,$0.41,18.76
2013-06-30,7.57,$0.41,18.55
2013-03-31,6.93,$0.08,84.59
2012-12-31,5.37,$-0.08,0.0
2012-09-30,5.16,$-0.11,0.0
2012-06-30,5.02,$0.08,65.03
2012-03-31,5.08,$0.40,12.77
2011-12-31,4.54,$0.54,8.4
2011-09-30,4.28,$0.34,12.56
2011-06-30,4.77,$0.11,44.56
2011-03-31,4.62,$0.04,118.13
2010-12-31,4.39,$0.11,38.24
2010-09-30,4.14,$0.16,25.5
2010-06-30,3.85,$0.34,11.45
2010-03-31,3.11,$0.35,8.76
2009-12-31,3.1,$0.43,7.29
