Futu Holdings Price to Free Cash Flow Ratio Historical Data,Futu Holdings Price to Free Cash Flow Ratio Historical Data,Futu Holdings Price to Free Cash Flow Ratio Historical Data,Futu Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,109.13,,0.0
2024-09-30,93.41,$-5.87,0.0
2024-06-30,64.07,$-5.87,0.0
2024-03-31,52.88,$-5.87,0.0
2023-12-31,53.35,$-5.87,0.0
2023-09-30,56.45,$1.14,49.55
2023-06-30,38.81,$-9.45,0.0
2023-03-31,50.63,$3.02,16.79
2022-12-31,39.7,$3.02,13.17
2022-09-30,36.42,$6.87,5.3
2022-06-30,50.99,$17.46,2.92
2022-03-31,31.8,$5.00,6.36
2021-12-31,42.28,$5.00,8.46
2021-09-30,88.89,$18.94,4.69
2021-06-30,174.89,$18.94,9.24
2021-03-31,155.09,$18.94,8.19
2020-12-31,44.68,$18.94,2.36
2020-09-30,27.95,0,0.0
2020-06-30,23.11,0,0.0
2020-03-31,9.25,0,0.0
2019-12-31,10.08,0,0.0
