TransAlta Price to Free Cash Flow Ratio Historical Data,TransAlta Price to Free Cash Flow Ratio Historical Data,TransAlta Price to Free Cash Flow Ratio Historical Data,TransAlta Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,9.78,,8.28
2024-12-31,14.15,$1.18,11.97
2024-09-30,10.31,$1.08,9.57
2024-06-30,7.01,$2.14,3.27
2024-03-31,6.36,$1.53,4.16
2023-12-31,8.17,$1.66,4.93
2023-09-30,8.51,$1.44,5.9
2023-06-30,9.12,$-0.22,0.0
2023-03-31,8.49,$-0.48,0.0
2022-12-31,8.66,$0.07,121.97
2022-09-30,8.49,$-0.07,0.0
2022-06-30,10.91,$1.63,6.69
2022-03-31,9.88,$2.28,4.34
2021-12-31,10.57,$1.65,6.41
2021-09-30,10.0,$1.61,6.22
2021-06-30,9.41,$0.48,19.51
2021-03-31,8.89,$0.70,12.75
2020-12-31,7.1,$0.60,11.78
2020-09-30,5.73,$0.89,6.41
2020-06-30,5.49,$1.16,4.75
2020-03-31,4.83,$1.44,3.36
2019-12-31,6.57,$1.19,5.55
2019-09-30,5.94,$1.26,4.7
2019-06-30,5.92,$0.78,7.56
2019-03-31,6.65,$0.49,13.64
2018-12-31,3.71,$1.47,2.53
2018-09-30,5.04,$1.37,3.68
2018-06-30,4.46,$1.50,2.97
2018-03-31,4.83,$1.31,3.69
2017-12-31,5.24,$0.78,6.72
2017-09-30,5.13,$0.82,6.29
2017-06-30,5.58,$0.88,6.34
2017-03-31,5.07,$1.12,4.51
2016-12-31,4.74,$1.03,4.61
2016-09-30,3.82,$1.06,3.59
2016-06-30,4.45,$0.94,4.75
2016-03-31,3.94,$0.30,13.26
2015-12-31,2.98,$-0.08,0.0
2015-09-30,3.79,$-0.17,0.0
2015-06-30,6.15,$0.14,44.49
2015-03-31,7.26,$0.43,16.82
2014-12-31,6.97,$1.02,6.82
2014-09-30,7.95,$1.28,6.21
2014-06-30,9.16,$1.09,8.43
2014-03-31,8.57,$0.99,8.64
2013-12-31,9.21,$0.80,11.48
2013-09-30,9.03,$0.74,12.15
2013-06-30,9.35,$-0.28,0.0
2013-03-31,9.75,$-0.41,0.0
2012-12-31,10.01,$-0.71,0.0
2012-09-30,9.84,$-0.66,0.0
2012-06-30,10.73,$0.48,22.29
2012-03-31,11.66,$1.07,10.94
2011-12-31,12.64,$1.14,11.06
2011-09-30,13.17,$1.40,9.4
2011-06-30,12.75,$1.15,11.13
2011-03-31,12.4,$0.18,70.22
2010-12-31,12.32,$0.12,104.08
2010-09-30,12.25,$-0.08,0.0
2010-06-30,10.46,$-0.72,0.0
2010-03-31,12.3,$-0.90,0.0
2009-12-31,12.26,$-1.31,0.0
