Elicio Therapeutics Price to Free Cash Flow Ratio Historical Data,Elicio Therapeutics Price to Free Cash Flow Ratio Historical Data,Elicio Therapeutics Price to Free Cash Flow Ratio Historical Data,Elicio Therapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,8.12,,0.0
2024-09-30,5.03,$-5.84,0.0
2024-06-30,4.11,$-2.26,0.0
2024-03-31,7.6,$17.51,0.43
2023-12-31,8.34,$-6.47,0.0
2023-09-30,8.45,$-26.36,0.0
2023-06-30,9.5,$-46.35,0.0
2023-03-31,0.58,$-92.20,0.0
2022-12-31,0.81,$-72.26,0.0
2022-09-30,0.92,$-54.45,0.0
2022-06-30,1.14,$-42.88,0.0
2022-03-31,2.12,$-18.63,0.0
2021-12-31,2.9,$-18.77,0.0
