Louisiana-Pacific Price to Free Cash Flow Ratio Historical Data,Louisiana-Pacific Price to Free Cash Flow Ratio Historical Data,Louisiana-Pacific Price to Free Cash Flow Ratio Historical Data,Louisiana-Pacific Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,93.4,,15.68
2024-12-31,103.55,$5.96,17.38
2024-09-30,107.21,$7.77,13.8
2024-06-30,81.91,$7.81,10.49
2024-03-31,83.25,$4.46,18.67
2023-12-31,70.01,$0.35,201.64
2023-09-30,54.4,$-3.82,0.0
2023-06-30,73.53,$-3.56,0.0
2023-03-31,52.96,$1.58,33.54
2022-12-31,57.59,$9.36,6.15
2022-09-30,49.6,$11.41,4.35
2022-06-30,50.59,$14.41,3.51
2022-03-31,59.77,$14.49,4.12
2021-12-31,75.15,$12.55,5.99
2021-09-30,58.7,$14.91,3.94
2021-06-30,57.48,$11.41,5.04
2021-03-31,52.75,$8.11,6.51
2020-12-31,35.23,$5.20,6.78
2020-09-30,27.84,$2.98,9.34
2020-06-30,24.09,$1.34,18.01
2020-03-31,16.01,$0.41,39.03
2019-12-31,27.54,$-0.03,0.0
2019-09-30,22.71,$-0.30,0.0
2019-06-30,24.08,$0.17,140.59
2019-03-31,22.27,$1.40,15.88
2018-12-31,20.19,$2.06,9.79
2018-09-30,23.93,$2.54,9.42
2018-06-30,24.48,$2.65,9.24
2018-03-31,25.76,$2.19,11.77
2017-12-31,23.41,$2.23,10.52
2017-09-30,24.14,$1.94,12.43
2017-06-30,21.49,$1.95,11.04
2017-03-31,22.12,$1.68,13.19
2016-12-31,16.87,$1.50,11.26
2016-09-30,16.78,$1.00,16.78
2016-06-30,15.47,$0.03,594.83
2016-03-31,15.26,$-0.39,0.0
2015-12-31,16.05,$-0.59,0.0
2015-09-30,12.69,$-0.82,0.0
2015-06-30,15.18,$-0.41,0.0
2015-03-31,14.72,$-0.57,0.0
2014-12-31,14.76,$-0.85,0.0
2014-09-30,12.11,$-0.60,0.0
2014-06-30,13.39,$-0.39,0.0
2014-03-31,15.04,$0.56,26.89
2013-12-31,16.5,$1.27,12.97
2013-09-30,15.68,$1.70,9.23
2013-06-30,13.18,$1.71,7.72
2013-03-31,19.25,$1.08,17.83
2012-12-31,17.22,$0.63,27.35
2012-09-30,11.14,$0.18,61.09
2012-06-30,9.7,$-0.21,0.0
2012-03-31,8.33,$-0.34,0.0
2011-12-31,7.19,$-0.45,0.0
2011-09-30,4.55,$-0.33,0.0
2011-06-30,7.26,$-0.30,0.0
2011-03-31,9.36,$0.01,649.97
2010-12-31,8.43,$0.28,29.74
2010-09-30,6.75,$0.49,13.89
2010-06-30,5.96,$0.35,17.19
2010-03-31,8.07,$0.29,27.88
2009-12-31,6.22,$0.54,11.44
