Pactiv Evergreen Price to Free Cash Flow Ratio Historical Data,Pactiv Evergreen Price to Free Cash Flow Ratio Historical Data,Pactiv Evergreen Price to Free Cash Flow Ratio Historical Data,Pactiv Evergreen Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,17.91,,19.81
2024-12-31,17.47,$0.90,19.33
2024-09-30,11.51,$0.71,16.13
2024-06-30,11.32,$0.63,17.84
2024-03-31,14.32,$0.84,16.97
2023-12-31,13.71,$1.39,9.84
2023-09-30,8.13,$2.00,4.06
2023-06-30,7.57,$1.14,6.66
2023-03-31,8.0,$0.62,12.88
2022-12-31,11.36,$0.87,12.99
2022-09-30,8.73,$0.34,26.04
2022-06-30,9.87,$0.22,44.06
2022-03-31,9.87,$0.56,17.54
2021-12-31,12.31,$-0.12,0.0
2021-09-30,12.06,$-0.38,0.0
2021-06-30,14.41,$-0.80,0.0
