Cosan S.A Price to Free Cash Flow Ratio Historical Data,Cosan S.A Price to Free Cash Flow Ratio Historical Data,Cosan S.A Price to Free Cash Flow Ratio Historical Data,Cosan S.A Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,5.55,,7.58
2024-09-30,9.56,$0.73,13.06
2024-06-30,9.74,$-0.65,0.0
2024-03-31,12.95,$-0.25,0.0
2023-09-30,13.59,$0.43,31.28
2021-06-30,18.26,$0.92,19.74
2020-12-31,17.5,$1.37,12.79
2020-09-30,14.1,$1.92,7.34
2020-06-30,14.3,$2.84,5.03
2020-03-31,11.6,$2.91,3.98
2019-12-31,21.53,$3.80,5.66
2019-09-30,14.05,$3.14,4.48
2019-06-30,12.6,$2.17,5.81
2019-03-31,10.93,$1.55,7.06
2018-12-31,8.3,$2.96,2.8
2018-09-30,6.35,$2.66,2.38
2018-06-30,7.19,$2.72,2.64
2018-03-31,9.8,$2.87,3.41
2017-12-31,9.15,$1.91,4.79
2017-09-30,7.66,$1.60,4.8
2017-06-30,6.04,$1.87,3.23
2017-03-31,7.98,$1.82,4.38
2016-12-31,7.02,$1.56,4.48
2016-09-30,6.68,$1.91,3.5
2016-06-30,6.08,$1.22,4.97
2016-03-31,4.6,$1.66,2.77
2015-12-31,3.45,$1.55,2.22
2015-09-30,2.7,$1.08,2.49
2015-06-30,5.76,$0.96,6.01
2015-03-31,5.91,$0.16,36.78
2014-12-31,7.24,$0.09,83.53
2014-09-30,9.91,$0.04,273.05
2014-06-30,12.49,$-0.14,0.0
2014-03-31,10.37,$-1.75,0.0
2013-12-31,12.48,$0.00,0.0
2013-09-30,13.98,$1.81,7.71
2013-06-30,14.37,$1.67,8.6
2013-03-31,17.34,$3.10,5.6
2012-12-31,15.39,$1.26,12.18
2012-09-30,14.1,$-0.87,0.0
2012-06-30,10.81,$-0.01,0.0
2012-03-31,12.65,$-0.58,0.0
2011-12-31,9.34,$-0.58,0.0
2011-09-30,8.07,0,0.0
2011-06-30,10.21,$-0.61,0.0
2011-03-31,10.72,0,0.0
2010-12-31,11.32,0,0.0
2010-09-30,9.63,0,0.0
2010-06-30,7.57,$-0.14,0.0
2010-03-31,7.64,0,0.0
2009-12-31,7.05,0,0.0
