Stanley Black & Decker Price to Free Cash Flow Ratio Historical Data,Stanley Black & Decker Price to Free Cash Flow Ratio Historical Data,Stanley Black & Decker Price to Free Cash Flow Ratio Historical Data,Stanley Black & Decker Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,80.52,,15.87
2024-12-31,80.29,$5.07,15.82
2024-09-30,109.13,$5.67,19.24
2024-06-30,78.52,$6.72,11.68
2024-03-31,96.25,$4.88,19.73
2023-12-31,95.57,$5.79,16.49
2023-09-30,80.7,$5.10,15.81
2023-06-30,89.72,$-0.79,0.0
2023-03-31,76.39,$-6.50,0.0
2022-12-31,70.55,$-12.44,0.0
2022-09-30,69.95,$-15.11,0.0
2022-06-30,96.62,$-12.30,0.0
2022-03-31,127.97,$-5.88,0.0
2021-12-31,171.78,$0.92,186.01
2021-09-30,158.94,$7.87,20.19
2021-06-30,185.08,$12.48,14.83
2021-03-31,179.68,$12.15,14.79
2020-12-31,160.08,$10.43,15.35
2020-09-30,144.87,$10.09,14.35
2020-06-30,123.95,$6.88,18.03
2020-03-31,88.44,$7.81,11.32
2019-12-31,145.87,$7.55,19.31
2019-09-30,126.55,$6.96,18.18
2019-06-30,126.07,$6.84,18.44
2019-03-31,118.1,$4.68,25.25
2018-12-31,103.34,$5.19,19.9
2018-09-30,126.39,$1.85,68.39
2018-06-30,114.09,$1.54,74.27
2018-03-31,131.02,$1.22,107.05
2017-12-31,144.55,$1.81,79.75
2017-09-30,128.12,$0.83,154.16
2017-06-30,118.9,$1.77,67.26
2017-03-31,111.79,$4.41,25.33
2016-12-31,96.06,$5.73,16.77
2016-09-30,102.5,$7.58,13.52
2016-06-30,92.27,$7.59,12.15
2016-03-31,86.86,$6.39,13.6
2015-12-31,87.6,$5.89,14.86
2015-09-30,79.2,$5.45,14.54
2015-06-30,85.47,$5.46,15.64
2015-03-31,77.06,$6.16,12.51
2014-12-31,77.23,$6.39,12.09
2014-09-30,70.99,$6.24,11.37
2014-06-30,69.81,$5.15,13.57
2014-03-31,64.21,$3.44,18.68
2013-12-31,63.39,$3.35,18.93
2013-09-30,70.71,$1.98,35.79
2013-06-30,60.0,$2.25,26.69
2013-03-31,62.46,$2.75,22.7
2012-12-31,56.71,$3.62,15.68
2012-09-30,58.05,$3.52,16.49
2012-06-30,48.64,$3.80,12.81
2012-03-31,57.78,$3.29,17.54
2011-12-31,50.48,$4.27,11.82
2011-09-30,36.44,$3.78,9.64
2011-06-30,53.12,$4.06,13.1
2011-03-31,56.16,$4.75,11.82
2010-12-31,48.76,$3.76,12.96
2010-09-30,44.43,$4.96,8.96
2010-06-30,36.21,$6.02,6.01
2010-03-31,40.9,$5.21,7.85
2009-12-31,36.5,$5.55,6.58
