CaliberCos Price to Free Cash Flow Ratio Historical Data,CaliberCos Price to Free Cash Flow Ratio Historical Data,CaliberCos Price to Free Cash Flow Ratio Historical Data,CaliberCos Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.65,,0.0
2024-09-30,0.62,$-0.42,0.0
2024-06-30,0.84,$-0.76,0.0
2024-03-31,1.0,$-1.00,0.0
