ReTo Eco-Solutions Price to Free Cash Flow Ratio Historical Data,ReTo Eco-Solutions Price to Free Cash Flow Ratio Historical Data,ReTo Eco-Solutions Price to Free Cash Flow Ratio Historical Data,ReTo Eco-Solutions Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,5.0,,inf
2023-12-31,3.55,0.0,0.0
2023-06-30,11.4,0.0,0.0
2022-12-31,410.0,0.0,0.0
2022-06-30,805.0,0.0,0.0
2021-12-31,1700.0,0.0,0.0
2021-06-30,1190.0,0.0,0.0
2020-12-31,664.5,0.0,0.0
2019-12-31,877.9,0.0,0.0
2019-06-30,1050.0,0.0,0.0
