Camden Property Trust Price to Free Cash Flow Ratio Historical Data,Camden Property Trust Price to Free Cash Flow Ratio Historical Data,Camden Property Trust Price to Free Cash Flow Ratio Historical Data,Camden Property Trust Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,120.05,,26.29
2024-12-31,116.04,$4.57,25.41
2024-09-30,123.53,$6.74,18.32
2024-06-30,108.21,$6.50,16.64
2024-03-31,96.67,$7.05,13.71
2023-12-31,96.52,$6.17,15.65
2023-09-30,91.05,$-5.87,0.0
2023-06-30,103.71,$-5.72,0.0
2023-03-31,98.96,$-6.98,0.0
2022-12-31,104.59,$-6.46,0.0
2022-09-30,110.76,$3.59,30.89
2022-06-30,123.71,$1.49,83.16
2022-03-31,151.83,$-1.22,0.0
2021-12-31,162.33,$-2.20,0.0
2021-09-30,133.35,$-3.25,0.0
2021-06-30,119.31,$-1.90,0.0
2021-03-31,98.23,$0.90,109.54
2020-12-31,88.54,$0.93,94.84
2020-09-30,78.18,$0.06,1376.42
2020-06-30,79.41,$0.34,234.18
2020-03-31,68.35,$-1.36,0.0
2019-12-31,90.62,$-2.22,0.0
2019-09-30,94.1,$-0.65,0.0
2019-06-30,87.85,$-1.90,0.0
2019-03-31,84.76,$-0.31,0.0
2018-12-31,72.96,$-1.41,0.0
2018-09-30,76.89,$-0.77,0.0
2018-06-30,74.26,$0.14,515.66
2018-03-31,68.02,$-0.39,0.0
2017-12-31,73.71,$1.67,44.22
2017-09-30,72.63,$0.64,112.72
2017-06-30,67.36,$5.64,11.95
2017-03-31,62.83,$6.65,9.44
2016-12-31,65.05,$6.82,9.54
2016-09-30,64.19,$7.40,8.68
2016-06-30,63.96,$2.08,30.7
2016-03-31,60.3,$1.01,59.85
2015-12-31,54.55,$1.75,31.2
2015-09-30,52.03,$2.69,19.35
2015-06-30,51.79,$2.59,19.99
2015-03-31,53.97,$2.23,24.18
2014-12-31,50.55,$1.09,46.21
2014-09-30,46.49,$-2.42,0.0
2014-06-30,47.81,$-2.88,0.0
2014-03-31,44.82,$-3.13,0.0
2013-12-31,37.49,$-1.93,0.0
2013-09-30,40.05,$-2.66,0.0
2013-06-30,44.63,$-3.38,0.0
2013-03-31,43.92,$-3.64,0.0
2012-12-31,43.23,$-5.05,0.0
2012-09-30,40.53,$-2.22,0.0
2012-06-30,42.16,$-1.30,0.0
2012-03-31,40.62,$0.26,154.15
2011-12-31,38.12,$1.01,37.64
2011-09-30,33.56,$2.76,12.17
2011-06-30,38.3,$3.68,10.4
2011-03-31,33.94,$3.82,8.88
2010-12-31,31.96,$3.84,8.33
2010-09-30,28.16,$2.35,12.0
2010-06-30,23.75,$2.21,10.76
2010-03-31,23.96,$2.64,9.09
2009-12-31,24.13,$2.77,8.7
