Ryerson Holding Price to Free Cash Flow Ratio Historical Data,Ryerson Holding Price to Free Cash Flow Ratio Historical Data,Ryerson Holding Price to Free Cash Flow Ratio Historical Data,Ryerson Holding Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,24.45,,7.56
2024-12-31,18.51,$3.24,5.72
2024-09-30,19.76,$2.91,6.79
2024-06-30,19.15,$1.53,12.49
2024-03-31,32.91,$3.44,9.58
2023-12-31,33.86,$6.85,4.94
2023-09-30,28.23,$8.88,3.18
2023-06-30,41.84,$10.55,3.97
2023-03-31,34.91,$10.32,3.38
2022-12-31,28.92,$10.56,2.74
2022-09-30,24.46,$8.67,2.82
2022-06-30,20.13,$4.47,4.51
2022-03-31,32.97,$5.94,5.55
2021-12-31,24.44,$3.65,6.7
2021-09-30,20.83,$1.08,19.28
2021-06-30,13.61,$4.93,2.76
2021-03-31,15.89,$4.26,3.73
2020-12-31,12.72,$6.63,1.92
2020-09-30,5.34,$10.24,0.52
2020-06-30,5.25,$9.18,0.57
2020-03-31,4.96,$8.02,0.62
2019-12-31,11.03,$5.73,1.92
2019-09-30,7.95,$5.90,1.35
2019-06-30,7.77,$2.57,3.02
2019-03-31,7.98,$-0.55,0.0
2018-12-31,5.91,$0.66,8.94
2018-09-30,10.53,$-0.24,0.0
2018-06-30,10.39,$0.69,15.12
2018-03-31,7.6,$0.95,8.04
2017-12-31,9.7,$-0.64,0.0
2017-09-30,10.11,$-1.59,0.0
2017-06-30,9.23,$-1.93,0.0
2017-03-31,11.75,$-2.13,0.0
2016-12-31,12.45,$0.15,85.65
2016-09-30,10.53,$1.21,8.68
2016-06-30,16.31,$2.66,6.13
2016-03-31,5.18,$6.04,0.86
2015-12-31,4.35,$7.70,0.57
2015-09-30,4.89,$3.57,1.37
2015-06-30,8.48,$1.32,6.43
