Broadwind Energy Price to Free Cash Flow Ratio Historical Data,Broadwind Energy Price to Free Cash Flow Ratio Historical Data,Broadwind Energy Price to Free Cash Flow Ratio Historical Data,Broadwind Energy Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.43,,3.04
2024-12-31,1.88,$0.47,3.99
2024-09-30,2.27,$0.49,4.66
2024-06-30,3.28,$0.12,28.28
2024-03-31,2.38,$0.83,2.86
2023-12-31,2.77,$-0.62,0.0
2023-09-30,3.2,$0.01,0.0
2023-06-30,3.82,$0.16,23.98
2023-03-31,3.84,$-0.27,0.0
2022-12-31,1.79,$0.67,2.68
2022-09-30,3.02,$-0.76,0.0
2022-06-30,1.64,$-0.69,0.0
2022-03-31,2.17,$-0.55,0.0
2021-12-31,1.88,$-0.75,0.0
2021-09-30,2.59,$-0.16,0.0
2021-06-30,4.53,$0.21,21.76
2021-03-31,6.6,$-0.20,0.0
2020-12-31,7.93,$0.23,35.1
2020-09-30,2.87,$-0.23,0.0
2020-06-30,3.75,$0.62,6.1
2020-03-31,1.4,$0.82,1.71
2019-12-31,1.66,$0.17,9.99
2019-09-30,1.69,$0.74,2.28
2019-06-30,2.22,$-0.67,0.0
2019-03-31,1.68,$-0.50,0.0
2018-12-31,1.3,$0.03,50.58
2018-09-30,2.18,$-0.78,0.0
2018-06-30,2.36,$-0.10,0.0
2018-03-31,2.2,$-0.54,0.0
2017-12-31,2.72,$-1.06,0.0
2017-09-30,3.24,$-0.99,0.0
2017-06-30,5.04,$-0.54,0.0
2017-03-31,8.33,$-0.16,0.0
2016-12-31,4.05,$0.74,5.48
2016-09-30,4.4,$1.49,2.96
2016-06-30,4.22,$1.03,4.1
2016-03-31,3.01,$1.06,2.83
2015-12-31,2.08,$-0.49,0.0
2015-09-30,2.07,$-1.47,0.0
2015-06-30,4.24,$-0.51,0.0
2015-03-31,5.0,$-0.38,0.0
2014-12-31,5.39,$0.06,95.91
2014-09-30,7.49,$0.66,11.41
2014-06-30,8.77,$-0.28,0.0
2014-03-31,12.22,$1.57,7.77
2013-12-31,9.44,$2.25,4.19
2013-09-30,7.85,$3.10,2.53
2013-06-30,4.78,$1.32,3.61
2013-03-31,4.37,$-0.75,0.0
2012-12-31,2.16,$-0.61,0.0
2012-09-30,2.16,$-1.55,0.0
2012-06-30,2.7,$-1.05,0.0
2012-03-31,4.7,$-1.93,0.0
2011-12-31,6.8,$-1.13,0.0
2011-09-30,3.2,$-0.47,0.0
2011-06-30,14.5,$0.22,66.51
2011-03-31,13.1,$0.33,39.93
2010-12-31,23.1,$-1.60,0.0
2010-09-30,18.7,$-2.27,0.0
2010-06-30,28.0,$-1.89,0.0
2010-03-31,44.7,$-1.15,0.0
2009-12-31,80.9,$-0.60,0.0
