Aprea Therapeutics Price to Free Cash Flow Ratio Historical Data,Aprea Therapeutics Price to Free Cash Flow Ratio Historical Data,Aprea Therapeutics Price to Free Cash Flow Ratio Historical Data,Aprea Therapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.42,,0.0
2024-09-30,2.75,$-2.80,0.0
2024-06-30,4.07,$-3.01,0.0
2024-03-31,6.69,$-3.42,0.0
2023-12-31,4.7,$-3.39,0.0
2023-09-30,4.17,$-5.26,0.0
2023-06-30,3.15,$-4.05,0.0
2023-03-31,4.44,$-10.99,0.0
2022-12-31,6.62,$-15.09,0.0
2022-09-30,13.0,$-21.61,0.0
2022-06-30,15.0,$-29.92,0.0
2022-03-31,37.2,$-29.55,0.0
2021-12-31,57.4,$-35.41,0.0
2021-09-30,102.2,$-38.47,0.0
2021-06-30,97.6,$-41.48,0.0
2021-03-31,102.0,$-43.27,0.0
2020-12-31,98.4,$-39.57,0.0
2020-09-30,481.2,$-116.11,0.0
