Life Times Price to Free Cash Flow Ratio Historical Data,Life Times Price to Free Cash Flow Ratio Historical Data,Life Times Price to Free Cash Flow Ratio Historical Data,Life Times Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,30.96,,98.82
2024-12-31,22.12,$0.31,70.6
2024-09-30,24.42,$0.01,0.0
2024-06-30,18.83,$-0.74,0.0
2024-03-31,15.52,$-0.98,0.0
2023-12-31,15.08,$-1.13,0.0
2023-09-30,15.21,$-1.54,0.0
2023-06-30,19.67,$-1.72,0.0
2023-03-31,15.96,$-1.96,0.0
2022-12-31,11.96,$-2.02,0.0
2022-09-30,9.75,$-3.68,0.0
