OptiNose Price to Free Cash Flow Ratio Historical Data,OptiNose Price to Free Cash Flow Ratio Historical Data,OptiNose Price to Free Cash Flow Ratio Historical Data,OptiNose Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,9.15,,0.0
2024-09-30,0.67,$-3.10,0.0
2024-06-30,1.04,$-3.46,0.0
2024-03-31,1.46,$-4.32,0.0
2023-12-31,1.29,$-2.79,0.0
2023-09-30,1.23,$-6.52,0.0
2023-06-30,1.23,$-9.02,0.0
2023-03-31,1.93,$-9.70,0.0
2022-12-31,1.85,$-11.82,0.0
2022-09-30,3.66,$-12.37,0.0
2022-06-30,3.66,$-11.94,0.0
2022-03-31,2.47,$-15.88,0.0
2021-12-31,1.62,$-20.31,0.0
2021-09-30,3.0,$-23.19,0.0
2021-06-30,3.11,$-24.28,0.0
2021-03-31,3.69,$-25.74,0.0
2020-12-31,4.14,$-26.94,0.0
2020-09-30,3.9,$-26.93,0.0
2020-06-30,7.44,$-28.59,0.0
2020-03-31,4.49,$-31.02,0.0
2019-12-31,9.22,$-32.71,0.0
2019-09-30,7.0,$-35.14,0.0
2019-06-30,7.08,$-37.56,0.0
2019-03-31,10.3,$-36.84,0.0
2018-12-31,6.2,$-35.25,0.0
2018-09-30,12.43,$-78.50,0.0
