Oracle Price to Free Cash Flow Ratio Historical Data,Oracle Price to Free Cash Flow Ratio Historical Data,Oracle Price to Free Cash Flow Ratio Historical Data,Oracle Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,152.72,,74.91
2025-02-28,166.06,$2.04,81.46
2024-11-30,184.84,$3.36,54.97
2024-08-31,140.97,$3.97,35.47
2024-05-31,116.6,$4.18,27.88
2024-02-29,110.76,$4.38,25.29
2023-11-30,114.81,$3.61,31.77
2023-08-31,118.5,$3.37,35.21
2023-05-31,103.92,$3.06,33.94
2023-02-28,85.37,$2.62,32.64
2022-11-30,80.8,$3.03,26.64
2022-08-31,71.79,$1.99,36.01
2022-05-31,69.32,$1.80,38.41
2022-02-28,72.94,$2.23,32.7
2021-11-30,86.8,$2.37,36.67
2021-08-31,84.97,$4.29,19.82
2021-05-31,74.79,$4.55,16.44
2021-02-28,61.01,$4.16,14.66
2020-11-30,54.38,$3.86,14.09
2020-08-31,53.7,$3.64,14.74
2020-05-31,50.25,$3.51,14.3
2020-02-29,46.01,$3.56,12.91
2019-11-30,51.99,$3.50,14.88
2019-08-31,48.0,$3.52,13.66
2019-05-31,46.47,$3.45,13.45
2019-02-28,47.66,$3.40,14.0
2018-11-30,44.41,$3.43,12.93
2018-08-31,44.24,$3.38,13.07
2018-05-31,42.38,$3.22,13.16
2018-02-28,45.78,$3.20,14.3
2017-11-30,44.15,$2.94,15.0
2017-08-31,45.12,$2.97,15.18
2017-05-31,40.53,$2.87,14.12
2017-02-28,37.87,$2.76,13.73
2016-11-30,35.6,$2.98,11.96
2016-08-31,36.37,$2.99,12.16
2016-05-31,35.34,$2.90,12.17
2016-02-29,32.21,$2.96,10.9
2015-11-30,33.99,$2.63,12.93
2015-08-31,32.22,$2.73,11.82
2015-05-31,37.64,$2.93,12.85
2015-02-28,37.79,$2.98,12.68
2014-11-30,36.48,$3.19,11.42
2014-08-31,35.61,$3.24,11.0
2014-05-31,35.93,$3.11,11.53
2014-02-28,33.34,$3.09,10.8
2013-11-30,29.99,$3.10,9.67
2013-08-31,26.97,$3.00,9.0
2013-05-31,28.49,$2.80,10.17
2013-02-28,28.88,$2.66,10.86
2012-11-30,26.98,$2.58,10.46
2012-08-31,26.49,$2.67,9.93
2012-05-31,22.11,$2.57,8.6
2012-02-29,24.39,$2.55,9.55
2011-11-30,26.08,$2.48,10.5
2011-08-31,23.3,$2.41,9.65
2011-05-31,28.35,$2.12,13.38
2011-02-28,27.21,$1.87,14.55
2010-11-30,22.33,$1.70,13.12
2010-08-31,18.01,$1.67,10.81
2010-05-31,18.56,$1.67,11.14
2010-02-28,20.24,$1.55,13.04
2009-11-30,18.09,$2.35,7.69
