MIND C.T.I Price to Free Cash Flow Ratio Historical Data,MIND C.T.I Price to Free Cash Flow Ratio Historical Data,MIND C.T.I Price to Free Cash Flow Ratio Historical Data,MIND C.T.I Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.99,,9.11
2024-09-30,1.97,$0.22,9.04
2024-06-30,1.86,$0.22,8.47
2024-03-31,1.9,$0.21,8.83
2023-12-31,1.75,$0.20,8.87
2023-09-30,1.68,$0.23,7.22
2023-06-30,1.74,$0.23,7.47
2023-03-31,1.77,$0.22,8.08
2022-12-31,1.68,$0.22,7.72
2022-09-30,1.67,$0.27,6.27
2022-06-30,1.9,$0.25,7.62
2022-03-31,2.34,$0.33,7.03
2021-12-31,2.28,$0.34,6.77
2021-09-30,2.31,$0.33,6.97
2021-06-30,2.28,$0.39,5.8
2021-03-31,1.94,$0.30,6.58
2020-12-31,1.74,$0.32,5.46
2020-09-30,1.56,$0.27,5.85
2020-06-30,1.41,$0.27,5.15
2020-03-31,1.17,$0.27,4.38
2019-12-31,1.44,$0.33,4.33
2019-09-30,1.41,$0.30,4.71
2019-06-30,1.33,$0.28,4.72
2019-03-31,1.28,$0.28,4.63
2018-12-31,1.21,$0.23,5.37
2018-09-30,1.24,$0.23,5.33
2018-06-30,1.16,$0.24,4.85
2018-03-31,1.18,$0.18,6.67
2017-12-31,1.31,$0.14,9.57
2017-09-30,1.22,$0.14,8.55
2017-06-30,1.19,$0.17,7.19
2017-03-31,1.15,$0.26,4.47
2016-12-31,1.04,$0.27,3.86
2016-09-30,0.91,$0.32,2.9
2016-06-30,0.9,$0.09,10.15
2016-03-31,0.85,$0.27,3.12
2015-12-31,0.95,$0.32,2.96
2015-09-30,1.03,$0.25,4.19
2015-06-30,0.97,$0.41,2.35
2015-03-31,1.19,$0.22,5.36
2014-12-31,1.35,$0.19,7.11
2014-09-30,1.06,$0.25,4.19
2014-06-30,0.81,$0.24,3.45
2014-03-31,0.66,$0.22,3.02
2013-12-31,0.62,$0.26,2.36
2013-09-30,0.52,$0.27,1.94
2013-06-30,0.53,$0.24,2.19
2013-03-31,0.58,$0.27,2.1
2012-12-31,0.55,$0.26,2.14
2012-09-30,0.53,$0.25,2.16
2012-06-30,0.5,$0.26,1.95
2012-03-31,0.51,$0.24,2.16
2011-12-31,0.46,$0.22,2.1
2011-09-30,0.43,$0.20,2.21
2011-06-30,0.68,$0.26,2.58
2011-03-31,0.83,$0.26,3.14
2010-12-31,0.56,$0.33,1.71
2010-09-30,0.43,$0.39,1.11
2010-06-30,0.45,$0.39,1.17
2010-03-31,0.4,$0.43,0.92
2009-12-31,0.19,$0.33,0.57
