IMAC Holdings Price to Free Cash Flow Ratio Historical Data,IMAC Holdings Price to Free Cash Flow Ratio Historical Data,IMAC Holdings Price to Free Cash Flow Ratio Historical Data,IMAC Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.42,,0.0
2024-09-30,1.12,$-0.95,0.0
2024-06-30,2.13,$-1.83,0.0
2024-03-31,3.06,$-0.50,0.0
2023-12-31,2.21,$-1.61,0.0
2023-09-30,2.01,$-4.01,0.0
2023-06-30,3.3,$-5.20,0.0
2023-03-31,4.29,$-9.29,0.0
2022-12-31,5.99,$-11.20,0.0
2022-09-30,11.37,$-12.68,0.0
2022-06-30,24.88,$-12.11,0.0
2022-03-31,30.9,$-10.15,0.0
2021-12-31,34.2,$-11.00,0.0
2021-09-30,44.4,$-13.53,0.0
2021-06-30,59.4,$-13.25,0.0
2021-03-31,49.5,$-17.04,0.0
2020-12-31,45.9,$-16.63,0.0
2020-09-30,23.34,$-17.66,0.0
2020-06-30,37.5,$-21.01,0.0
2020-03-31,60.6,$-18.72,0.0
2019-12-31,45.0,$-19.84,0.0
