Pyxis Oncology Price to Free Cash Flow Ratio Historical Data,Pyxis Oncology Price to Free Cash Flow Ratio Historical Data,Pyxis Oncology Price to Free Cash Flow Ratio Historical Data,Pyxis Oncology Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.12,,0.0
2024-12-31,1.56,$-0.99,0.0
2024-09-30,3.67,$-1.07,0.0
2024-06-30,3.31,$-1.18,0.0
2024-03-31,4.26,$-1.47,0.0
2023-12-31,1.8,$-1.94,0.0
2023-09-30,1.99,$-2.05,0.0
2023-06-30,2.56,$-2.47,0.0
2023-03-31,4.01,$-2.92,0.0
2022-12-31,1.34,$-2.90,0.0
2022-09-30,1.97,$-6.57,0.0
